"Gene","metaRanking","RP"
"LRRC37A6P",773,1429
"RNU6-876P",774,1431
"HMGN2P6",775,1433
"RNU4ATAC10P",776,1434
"RN7SL505P",777,1436
"RNU12-2P",778,1438
"RNU6-299P",779,1439
"RNU6-978P",780,1441
"RNA5SP197",781,1442
"LINC00898",782,1444
"RPS2P52",783,1447
"RNA5SP347",784,1449
"PABPC1",785,1449
"C7orf76",786,1452
"RNU6-545P",787,1454
"LOC440028",788,1456
"HNRNPK",789,1456
"EEF1DP5",790,1457
"RN7SKP52",791,1459
"RPL27",792,1459
"MIR105-1",793,1460
"MAGEB6P1",794,1461
"RNU1-100P",795,1463
"SLX1A",796,1465
"RNA5SP147",797,1467
"RN7SL426P",798,1468
"RNU6-670P",799,1470
"SOGA1",800,1471
"LOC100130924",801,1472
"RNU6-1252P",802,1474
"RNU6-173P",803,1477
"RN7SL75P",804,1478
"ATP11AUN",805,1480
"RN7SL321P",806,1482
"RN7SKP85",807,1483
"ZNF816-ZNF321P",808,1485
"PRO2949",809,1486
"OR4A13P",810,1488
"RNU1-40P",811,1493
"RN7SL665P",812,1494
"RN7SKP100",813,1496
"RNU6-543P",814,1498
"RNU6-900P",815,1500
"RNU6-154P",816,1502
"RN7SL401P",817,1503
"FAM27C",818,1505
"LOC401557",819,1506
"RN7SKP230",820,1508
"CDKN2AIPNLP2",821,1511
"IGHV3OR15-7",822,1512
"RPL13AP6",823,1514
"RPS11",824,1517
"RNY1P7",825,1517
"LUC7L3",826,1517
"RNU6-131P",827,1519
"RNA5SP319",828,1523
"MRPL57",829,1524
"ATP5J2P3",830,1525
"RNU6-472P",831,1526
"RNU6-762P",832,1528
"RNU6-819P",833,1529
"FLJ44874",834,1531
"LOC101060458",835,1533
"HDHD1",836,1535
"RNY1P3",837,1537
"MIR600HG",838,1538
"ZBED1",839,1539
"RN7SL30P",840,1540
"FAM192A",841,1542
"HDGFRP2",842,1543
"RNA5SP27",843,1544
"MIR124-1",844,1546
"RN7SKP129",845,1549
"FTH1P5",846,1550
"FAM86C2P",847,1551
"RNU4-39P",848,1552
"UBXN1",849,1553
"LOC339059",850,1554
"RN7SKP238",851,1556
"KRTAP9-1",852,1557
"LINC00686",853,1559
"RN7SL36P",854,1560
"RNU6-752P",855,1562
"TEN1-CDK3",856,1564
"SLC25A6P2",857,1565
"SAPCD1",858,1567
"RN7SKP194",859,1569
"RN7SKP212",860,1570
"RN7SKP108",861,1572
"FAM214B",862,1572
"DUS2",863,1572
"LOC102723555",864,1574
"EIF1",865,1575
"RNU6-337P",866,1575
"RNA5SP39",867,1577
"RNU6-931P",868,1579
"FBRSL1",869,1581
"RNU2-5P",870,1582
"RNU6-1220P",871,1584
"RPL30",872,1585
"PPIAP9",873,1588
"RTCA",874,1589
"RN7SL108P",875,1589
"OR7E105P",876,1592
"UBBP4",877,1593
"LOC101928885",878,1595
"LOC101928841",879,1597
"RN7SL762P",880,1601
"RNU6-648P",881,1603
"RN7SL745P",882,1604
"C2orf81",883,1604
"OR9K1P",884,1605
"TMBIM6",885,1607
"RN7SL307P",886,1608
"RNU5F-6P",887,1610
"RNA5SP131",888,1612
"OR7E104P",889,1614
"RNU6-229P",890,1615
"RN7SL138P",891,1617
"RNU6-799P",892,1619
"GOLGA8UP",893,1620
"TANGO6",894,1622
"WASF4P",895,1622
"LOC100130916",896,1625
"CERS2",897,1625
"RNA5SP479",898,1626
"TRBV23OR9-2",899,1628
"RNU4-81P",900,1632
"RPL29P12",901,1634
"RN7SL809P",902,1636
"RPL35A",903,1638
"LCA10",904,1638
"RN7SL552P",905,1639
"DKFZP434F142",906,1640
"IGKV3OR2-268",907,1641
