"Gene","metaRanking","RP"
"LOC442249",390,998.9
"RN7SKP110",391,1000
"LOC342531",392,1004
"H3F3C",393,1006
"RPL37",394,1009
"LOC729739",395,1010
"PRSS45",396,1012
"HMGXB3",397,1013
"RPL34P34",398,1014
"BAG6",399,1020
"LOC100131794",400,1021
"LOC100130358",401,1024
"LOC728522",402,1027
"LOC100127894",403,1029
"KTN1-AS1",404,1030
"LOC400013",405,1034
"RN7SKP79",406,1040
"LOC339843",407,1043
"RNF114",408,1044
"LOC100128023",409,1045
"CTGLF7",410,1048
"RPN1",411,1051
"LOC729356",412,1051
"LOC100131880",413,1053
"ACTB",414,1054
"LOC100130819",415,1055
"SARAF",416,1057
"FTSJD2",417,1058
"LOC121906",418,1074
"COA4",419,1074
"TRIM53",420,1077
"LOC100129795",421,1078
"BASE",422,1081
"LOC100129936",423,1084
"LOC100130420",424,1086
"LOC728716",425,1088
"LOC729454",426,1089
"LOC100129786",427,1092
"HEATR7B2",428,1094
"RNASEK",429,1096
"LOC729770",430,1096
"LOC390671",431,1099
"LOC100133825",432,1101
"SKP1",433,1102
"LOC100128007",434,1103
"LOC100132909",435,1105
"PPIAL4G",436,1106
"LOC100128006",437,1107
"FTH1P18",438,1108
"NARS",439,1110
"LOC100129193",440,1117
"LOC100130616",441,1118
"LOC100128334",442,1120
"TPM3P9",443,1123
"LOC100129267",444,1126
"UBE2Q2P2",445,1128
"PSME1",446,1128
"ZNF806",447,1129
"NCOA4",448,1130
"PRSS29P",449,1131
"LOC644684",450,1133
"LOC100128542",451,1135
"LOC646644",452,1137
"USP7",453,1139
"LOC100134188",454,1139
"RPL18",455,1139
"LOC100130673",456,1141
"LOC730275",457,1143
"CAP1",458,1149
"RPRD1B",459,1149
"LOC440040",460,1150
"LOC100127920",461,1155
"LOC647013",462,1157
"LOC729956",463,1159
"LOC100128973",464,1161
"LOC100131315",465,1164
"LOC100131573",466,1166
"NCRNA00094",467,1168
"UBXN1",468,1169
"LOC100132947",469,1169
"LOC729862",470,1172
"LOC653550",471,1174
"RPL29P12",472,1176
"LOC401730",473,1178
"RPL39",474,1179
"LOC729400",475,1182
"LOC728297",476,1184
"LOC100132635",477,1186
"LOC401007",478,1187
"OR7E5P",479,1190
"RP3-507I15.1",480,1191
"LOC791120",481,1194
"RPL13AP20",482,1195
"LOC642305",483,1197
"RN7SL401P",484,1199
"PDF",485,1199
"LOC100128904",486,1200
"POLR3E",487,1202
"LOC100131514",488,1203
"POTEB",489,1205
"YTHDF2",490,1206
"RP11-209A2.1",491,1208
"LOC100132430",492,1211
"PYCR2",493,1214
"ARMC2-AS1",494,1215
"RNU1-7P",495,1217
"LOC442319",496,1219
"GNAS",497,1219
"LOC727941",498,1221
"LOC729789",499,1223
"LOC729120",500,1225
"RAB10",501,1226
"LOC648927",502,1226
"GRSF1",503,1228
"LOC644387",504,1228
"YWHAZP3",505,1233
