"Gene","metaRanking","RP"
"PCOTH",952,2056
"RNU6-711P",953,2058
"LOC440061",954,2060
"SOD1",955,2060
"LOC642249",956,2062
"LOC100131658",957,2064
"LOC730011",958,2066
"LOC100130190",959,2072
"LOC646048",960,2076
"KTN1-AS1",961,2078
"IGDCC3",962,2078
"KRT17P2",963,2080
"GPR75-ASB3",964,2083
"TBP",965,2086
"LOC100131643",966,2090
"LOC645453",967,2091
"RN7SKP115",968,2093
"LOC644384",969,2094
"BRK1",970,2096
"MINOS1",971,2097
"LOC729739",972,2098
"HMGB1P10",973,2099
"LOC100127915",974,2101
"NAT15",975,2103
"LOC100128747",976,2105
"LOC727895",977,2106
"LOC100132859",978,2108
"OSBP",979,2109
"GCNT6",980,2118
"LOC731787",981,2119
"SCAND3",982,2121
"LOC646070",983,2123
"OPN1MW2",984,2126
"LOC100130960",985,2133
"LOC100132972",986,2135
"TERF1P3",987,2142
"TCOF1",988,2142
"MMS19",989,2146
"TRIP12",990,2146
"PPP1R11",991,2149
"RPL7AP8",992,2150
"UBE3C",993,2152
"LOC100128576",994,2152
"LOC100130869",995,2155
"CERKL",996,2156
"LOC100127987",997,2156
"LOC100128907",998,2158
"PPP2CA",999,2160
"LOC653712",1000,2163
"LOC729059",1001,2169
"MLST8",1002,2175
"LCMT1",1003,2175
"RNU6-173P",1004,2175
"DNM1P33",1005,2177
"CDK5RAP1",1006,2178
"RN7SL630P",1007,2179
"RN7SL551P",1008,2181
"ST13P4",1009,2185
"LOC643123",1010,2187
"PPP6R3",1011,2189
"LOC100128346",1012,2190
"RN7SL454P",1013,2193
"RPS15",1014,2194
"TXNRD3IT1",1015,2196
"RPS17",1016,2196
"TBC1D3P2",1017,2197
"AIDA",1018,2198
"MFN1",1019,2198
"YWHAQ",1020,2203
"UBXN2A",1021,2205
"LOC100133002",1022,2205
"LOC649346",1023,2207
"LOC100133070",1024,2209
"PPIAL4G",1025,2210
"CRBN",1026,2211
"LOC100133403",1027,2212
"UBE2E4P",1028,2213
"ZFYVE20",1029,2216
"LOC100129514",1030,2217
"TMEM167B",1031,2217
"FAF2",1032,2217
"RN7SL7P",1033,2218
"MCM3AP",1034,2220
"CUL1",1035,2221
"RN7SL35P",1036,2222
"SNAPC3",1037,2223
"LINC01011",1038,2226
