"","GSE33684","GSE113808","GSE104128","GSE97910","GSE70857","GSE62324","GSE57659","GSE39313"
"0610038F07Rik",0.146552167852624,0.160879774507208,0.195063161649003,0.134446038569443,0.0244769695129891,0.106770560688595,0.024882806543689,0.016458206539867
"0610038K03Rik",0.103586772230862,0.17399785119445,0.184483080895514,0.106966190928833,0.0560484732738682,0.382615951696563,0.0821903047973376,0.0578720827542946
"0610039D01Rik",0.0582259993225824,0.27446718304537,0.171456811844604,0.231460907894928,0.0277681439410443,0.123349733955871,0.0288539742081364,0.0331975076909855
"0610039J04Rik",0.0831090958899042,0.180320291816381,0.121779495988472,0.0728912062071266,0.0162388367908961,0.0938058890100794,0.0291463117837759,0.032549107858142
"0610039N19Rik",0.166766815641329,0.365557021623962,0.304659819871761,0.533440354796582,0.0801615959350508,0.204340263686146,0.0632076759822591,0.0880874335950457
"0610039P13Rik",0.191954063875908,0.797794930591944,0.523486183090545,1.09528510492107,0.0579882614962252,0.22538690319624,0.127521084994263,0.0331561504425078
"0610040B21Rik",0.173637113699928,0.174954366893015,0.573220865602604,0.167742025866006,0.0352795890956247,0.219086261496622,0.0386712756490767,0.0235542109300312
"0610040D20Rik",0.0704829435369482,0.23979191275371,0.0557963507252582,0.0150586284834553,0.00653830799378079,0.157661829814083,0.0793382891279905,0.000620306493891607
"0610040J01Rik",0.115706766833757,0.23658853213791,0.201055241031403,0.0342838798041304,0.00908309887397151,0.286723204235156,0.0844953615391493,0.00634827906276347
"0610041B22Rik",0.0924377785984994,0.164230367345121,0.346666155807356,0.135530115543091,0.0173470002298474,0.197974495329044,0.0455777294254866,0.0131292558599257
"0610041E09Rik",0.161940993216241,0.424540646817571,0.114356941537132,0.109476183164447,0.0144591125147846,0.113919848771518,0.0355212839819604,0.00837825343555412
"0610041G09Rik",0.663527046407682,0.293461191641386,0.310896233158482,0.685281237941626,0.14203144223223,0.187599592729753,0.0747108783819723,0.124861111082319
"0610042E07Rik",0.108649261435563,0.223296648728109,0.112200170278382,0.0749953287485077,0.0216731622423037,0.284855258619428,0.0805043826106175,0.00141110522744774
"0710001B24Rik",0.141281081025235,0.52610186976648,0.300279131037431,0.251596289377257,0.0572754924816569,0.20643884360992,0.0626997936091658,0.0342975646905179
"0710001E13Rik",0.057399648628888,0.193593169372898,0.0286018724124288,0.0223071750973035,0.0054574649289895,0.268954318933814,NA,0.00135498696540812
"0710005M24Rik",0.100087547884494,0.273955967318862,0.0378647685891862,0.0249769427800944,0.00623521041515554,0.266888854750025,0.0934236684888471,0.000865629606581493
"0710007A14Rik",0.0872726753521093,0.158938190210225,0.118637666558052,0.109870684090797,0.021340900106376,0.0895086402763384,0.0229106783313125,0.0362807345358714
"0710008K08Rik",0.137988490082456,0.197989471310552,0.196592327320534,0.167763861610605,0.0258438772362615,0.114929750770346,0.0313718795881496,0.0378672863982787
"0910001A06Rik",0.0818296694761065,0.257110693392026,0.102499042100492,0.0445434067824227,0.0079789387840617,0.250679793583158,0.0394672207235403,0.00123361990988802
"0910001K20Rik",0.0799998288376516,0.198093136471036,0.0410556086377597,0.0213628316890851,0.0061059130100329,0.284982218256665,0.0673122521694222,0.0010726736390453
"0910001L09Rik",0.0876489635932672,0.176691995595134,0.283981454819956,0.234746726881844,0.0245366943803482,0.0655167432540257,0.0200012398299382,0.0295835037022855
"1010001D01Rik",0.100485394257518,0.179921667932119,0.0581779476136079,0.0257461644585848,0.00625159450463759,0.157146512543266,NA,0.00102742010222006
"1100001A21Rik",0.0864529080681406,0.138933307071998,0.13258041175791,0.100068778302214,0.0369924626655098,0.219853404212019,0.0425688140555831,0.00675222086655525
"1100001D10Rik",0.108533245664036,0.268763455441894,0.13344268761686,0.170764718192012,0.0176618403433203,0.0745434309200436,0.0431501547199788,0.031829239451953
"1100001E04Rik",0.0759968235568027,0.234053337060184,0.0347251209322663,0.0193313367557912,0.00689872204533946,0.233207160222503,0.0840477416366608,0.00103363894222789
"1100001G20Rik",0.116106934260765,0.401829730225258,0.563574607713937,0.103101784309952,0.0464227893055665,0.246454412844298,0.139270867418852,0.0818463052841951
