"","GSE73108","GSE72158","GSE65221","GSE58559","GSE42809","GSE119717","GSE115645"
"ABCB1",0.22944418891131,0.0654978880856895,0.178240690796093,0.0425624780148207,0.00106258637630637,0.0313986357307026,0.217619911504762
"ABCB10",0.00864558101123081,0.148241416076807,0.137683448636919,0.0171440229003671,0.0119606627254444,0.0234340306099481,0.360198721237613
"ABCB11",0.0502923680367412,0.0585817115483307,0.143610204012321,0.0271572597715532,0.00162531640425273,NA,0.188089094830662
"ABCB4",0.136413810345779,0.0895014717126792,0.113179227344873,0.0233697633906253,0.00210415834725776,NA,0.3480700694655
"ABCB5",0.0183142935005168,0.0498535444589183,0.0886194560174371,0.0257499512704576,0.00101315377113748,NA,0.273035187509515
"ABCB6",0.0216136588336609,0.1652820316733,0.206525212977673,0.0230783926871165,0.0112288326492859,0.0303586990247321,0.204145175925395
"ABCB7",0.0412488947574491,0.211822093878312,0.217552189595567,0.020542329353668,0.0165979101256924,0.0292434000436267,0.310834090490614
"ABCB8",0.0405013657391518,0.071983110961445,0.118273959603876,0.0224877724313865,0.00422503364843791,NA,0.194793783553746
"ABCB9",0.0790994060064629,0.0924544331034289,0.201816983469838,0.0216206469219504,0.0223396955539821,0.0253289584813048,0.239473617435442
"ABCC1",0.0265665816389592,0.0653341857808658,0.127034244883112,0.0154885190592488,0.00214754091294007,NA,0.288058049726331
"ABCC10",0.0490742662943904,0.0579946379660589,0.130924962794645,0.0340430227102694,0.00991182390596584,0.02489948126729,0.181740111751317
"ABCC11",0.0127333337404319,0.0506704315224306,0.0717550143890553,0.0265169042713234,0.00225560595103927,NA,0.137363818231094
"ABCC12",0.00765661210994492,0.048630970705696,0.0691068772300234,0.0238256240289198,0.00261842742721682,NA,0.262681234429591
"ABCC13",0.0275597831882653,0.0400415792222351,0.0725595291379464,0.0219964038737196,0.00194163407285556,NA,0.232964744901681
"ABCC2",0.102740278438378,0.132302111150825,0.195423091453162,0.0333129037921943,0.00967049585052888,0.0409695505105692,0.292498863459026
"ABCC3",0.0430486487231693,0.599153228318808,0.52808832677834,0.0389121275859947,0.0468023246015632,0.118792050354657,0.305808696641402
"ABCC4",0.104328097298379,0.0781820494633501,0.142704407866221,0.0253445536591606,0.0216501386911141,0.0291658760070152,0.241235732228052
"ABCC5",0.036234118717135,0.145339364483488,0.190541233852749,0.0359586592906082,0.00763693540215351,0.0266939479583256,0.324101923592341
"ABCC6",0.0573014944589115,0.062535611769088,0.15995344914216,0.0210026043497166,0.00174225719318029,0.0243654970116952,0.160160211680609
"ABCC6P1",0.0683979108839879,0.067378406664121,0.142693578123116,0.0236709110784304,0.0032600208044296,NA,0.18645679754655
