"","SYMBOL_ID","RANKING","MEDIAN_VALUE","nGSEs"
"32162","AI326477",8644,0.0199189111929135,14
"33491","Crkrs",8645,0.0199196155253548,7
"33666","D130051G04Rik",8646,0.0199200820474118,7
"39813","LOC639715",8647,0.0199210544102269,7
"33166","C230089D15Rik",8648,0.0199222888475499,7
"35960","LOC100044122",8649,0.0199225258742726,7
"45933","Gm3045",8650,0.0199233546890313,5
"30029","4933401J08Rik",8651,0.0199238246526441,7
"34768","EG545886",8652,0.0199240629013901,7
"22676","Gm10861",8653,0.0199248520227186,6
"35662","Krt2-ps1",8654,0.0199261631112567,7
"27268","Rpl36",8655,0.0199291921985454,26
"36188","LOC100046098",8656,0.019929329854895,7
"36407","LOC100047904",8657,0.0199335708403498,7
"29030","2610010A15Rik",8658,0.0199340064974503,7
"10450","Gtf2b",8659,0.0199341886005141,41
"39130","LOC385392",8660,0.0199346344107949,7
"29049","2610020O08Rik",8661,0.0199348346604236,16
"27284","Rprl2",8662,0.0199358358948814,11
"28780","2310003C23Rik",8663,0.0199381904192404,21
"31076","9630009L01Rik",8664,0.0199403103234423,7
"39459","LOC386553",8665,0.0199412686893603,7
"39711","LOC633238",8666,0.0199415046103419,7
"45976","Gm3878",8667,0.0199416791152318,5
"28306","1500031H01Rik",8668,0.0199417268146843,7
"25411","Mccc1os",8669,0.0199421564923871,6
"27507","Spr-ps1",8670,0.019946041740153,6
"22194","Erich5",8671,0.0199502553322217,6
"28188","1110037P13Rik",8672,0.019951069223259,7
"22416","Gm10353",8673,0.0199550511633155,11
"25919","Npw",8674,0.0199572226651799,18
"16032","Psma4",8675,0.019961894153221,41
"30453","6230412A12Rik",8676,0.0199646639976508,7
"33557","D030032C23Rik",8677,0.019966545745527,7
"36515","LOC100048796",8678,0.0199667185270957,7
"22354","Gm10138",8679,0.0199703263022365,6
"33905","D430023H11Rik",8680,0.0199714970045552,7
"28978","2410152H17Rik",8681,0.0199726850295525,7
"24302","Gm5134",8682,0.0199732492046929,11
"29782","4930476L21Rik",8683,0.0199752320861457,7
"30694","8030466K23Rik",8684,0.0199753697519872,7
"9418","Glyr1",8685,0.0199773378210314,27
"41508","V1rb8",8686,0.0199798723821297,14
"39388","LOC386298",8687,0.0199799931620429,7
"37015","LOC236598",8688,0.0199800645654868,7
"34762","EG545370",8689,0.0199809740129887,14
"32653","BC002216",8690,0.0199811205095379,15
"31600","A430106P18Rik",8691,0.0199817382672204,7
"34838","EG625737",8692,0.019983171315624,7
"36403","LOC100047870",8693,0.0199841592718935,7
"22882","Gm13033",8694,0.0199847698262947,6
"31102","9630027M13Rik",8695,0.0199851834818593,7
"36575","LOC208080",8696,0.0199868264494776,7
"36014","LOC100044529",8697,0.0199883684370687,7
"32073","A930031F24Rik",8698,0.0199899240696643,7
"11280","Ilkap",8699,0.0199901637802051,35
"34438","E330011I20Rik",8700,0.0199918595651488,7
"22551","Gm10645",8701,0.0199920898128062,6
"9037","Ftsj1",8702,0.0199928602268295,34
"38267","LOC382558",8703,0.0199961727524373,7
"25268","LOC102636896",8704,0.0199962287595591,6
"32217","Alkbh",8705,0.0199972274255681,7
"19783","Tpt1",8706,0.0199975616508329,42
"10469","Gtf3c6",8707,0.0199979111423558,34
"29605","4833442A19Rik",8708,0.0199979315287628,7
"28456","1700028I04Rik",8709,0.0199987974336491,7
"21584","4930570N19Rik",8710,0.0199989316804807,13
"34670","EG383229",8711,0.0199997180016282,7
"32326","B020006M18Rik",8712,0.0199998095059176,14
"28745","2210410E06Rik",8713,0.0200004247072506,7
"3432","Amfr",8714,0.0200012532020569,43
"25335","LOC102641084",8715,0.0200048528096193,5
"41683","Zfp103",8716,0.0200053287134278,7
"29602","4833441B18Rik",8717,0.0200061072630914,7
"34938","EG666648",8718,0.0200070052359106,7
"5235","Capza2",8719,0.0200073166541525,42
"40240","MGC118210",8720,0.0200084565328085,14
"31641","A530031I11Rik",8721,0.0200089313605931,7
"32193","AI848100",8722,0.0200126261964908,12
"15161","Phb2",8723,0.0200126979905411,35
"32451","B230320P20Rik",8724,0.0200127207418035,7
"32069","A930029N17Rik",8725,0.0200144593457606,7
"7780","Dync1h1",8726,0.0200146559266551,35
"34519","E530003F24Rik",8727,0.0200155428279267,7
"32148","Adss2",8728,0.020018022933931,7
"30599","6530406M24Rik",8729,0.0200187746100947,16
"41444","Txn2-pending",8730,0.0200208466922138,7
"32169","AI449175",8731,0.0200267874990597,16
"21633","6530402D11Rik",8732,0.0200277331571588,13
"37951","LOC381528",8733,0.0200290266391756,7
"32655","BC002236",8734,0.0200295506086903,8
"41111","scl000648.1_30",8735,0.0200301282004454,7
"33854","D330036A12Rik",8736,0.0200309519834393,7
"32456","B230325M24Rik",8737,0.0200311515966154,7
"38414","LOC383096",8738,0.0200318223067608,7
"32688","BC015286",8739,0.0200326093761596,14
"35739","LOC100039623",8740,0.0200355843488027,7
"16904","Rpl10a",8741,0.0200356722256688,33
"40902","scl0001259.1_60",8742,0.0200370954250313,7
"40391","Myst3",8743,0.0200391916936049,12
"30928","9430048B09Rik",8744,0.0200415207945771,7
"35077","F730039D13Rik",8745,0.0200427395063695,7
"32436","B230307C21",8746,0.0200473846682098,7
"21653","9330158H04Rik",8747,0.0200515212803613,13
"46974","Pppde2",8748,0.0200519017259533,5
"39041","LOC385081",8749,0.0200538859960516,7
"27283","Rprl1",8750,0.020055948665758,11
"41336","Tessp3",8751,0.0200571757106699,14
"40419","Nedl2",8752,0.0200601523093626,7
"33107","C230043G09Rik",8753,0.020060272599805,7
"34284","E030031F02Rik",8754,0.020060588859726,7
"30175","5330408M12Rik",8755,0.0200615960854549,15
"40324","Mosc2",8756,0.0200626852631684,12
"25122","Kncn",8757,0.0200631033678483,25
"31398","A230067E15Rik",8758,0.0200650060281483,7
"10044","Gm8618",8759,0.0200675078262445,20
"40816","Rg9mtd3",8760,0.0200687724764386,20
"31576","A430089I07Rik",8761,0.0200696052110352,7
"11818","Klhl22",8762,0.0200701314960098,35
"36310","LOC100047163",8763,0.0200704254801159,7
"22813","Gm12321",8764,0.0200706131666995,6
"41285","Supt5h",8765,0.0200713372753415,21
"30232","5430439D08Rik",8766,0.0200744380423814,7
"23194","Gm19246",8767,0.0200748372890047,6
"24448","Gm5909",8768,0.0200764416582588,5
"33357","C730039N23Rik",8769,0.0200778158153684,7
"24657","Gm8036",8770,0.0200793711062364,6
"33000","C130043P10Rik",8771,0.020083538601017,7
"37579","LOC333423",8772,0.0200867561298478,7
"15735","Ppp2r2a",8773,0.020089629136232,35
"40531","Olfr899",8774,0.0200902566989688,14
"36249","LOC100046770",8775,0.020092867849841,7
"35308","Gm52",8776,0.0200932368468837,15
"30355","5830445I20Rik",8777,0.0200939454526839,7
"41726","Znf24",8778,0.0200956747919474,7
"12701","Lsm14a",8779,0.0200971409260293,35
"23730","Gm24413",8780,0.0201023420734591,6
"37211","LOC244595",8781,0.0201024879248295,14
"32818","BC057079",8782,0.0201080393776076,13
"20730","Wdr61",8783,0.0201115592707757,35
"20311","Ufc1",8784,0.0201155872375897,35
"34855","EG627624",8785,0.0201193810355727,7
"25343","LOC102641705",8786,0.0201216429827154,6
"46741","Mir1956",8787,0.0201227608084099,5
"33265","C430049K18Rik",8788,0.0201230953468039,7
"10172","Golph3",8789,0.0201235929750402,42
"29552","4832436M01Rik",8790,0.0201243096362256,7
"30957","9430090I01Rik",8791,0.0201251851459002,7
"40630","Pabpnl1",8792,0.0201253620114471,14
"30385","5930416I19Rik",8793,0.0201263667868667,21
"32917","C030026E19Rik",8794,0.0201272206768131,7
"29333","3010024O21Rik",8795,0.0201280716335367,7
"35342","Gm804",8796,0.0201332682896403,13
"36925","LOC232745",8797,0.0201364752071703,7
"10810","Hnrnpa2b1",8798,0.020137406144833,35
"33435","Centg1",8799,0.0201377764652687,15
"34415","E230024I12Rik",8800,0.0201386240658859,7
"29123","2610510H03Rik",8801,0.020138660656593,14
"23015","Gm14407",8802,0.0201471094674699,11
"39652","LOC628916",8803,0.0201480190703802,7
"30893","9430006N12Rik",8804,0.0201493264666159,7
"39542","LOC546015",8805,0.0201507231129494,7
"38509","LOC383439",8806,0.0201538967693635,7
"30028","4933401F05Rik",8807,0.0201567558699598,7
"33750","D230005E09Rik",8808,0.0201588726538829,7
"7682","Dpysl2",8809,0.0201591333148114,43
"31568","A430083G20Rik",8810,0.0201592705010875,7
"27668","Trav13d-1",8811,0.0201599934480532,5
"38688","LOC384022",8812,0.0201614642331425,7
"32959","C130020P08Rik",8813,0.020162260976459,7
"34142","D930038D03Rik",8814,0.0201640995306269,14
"40410","Ncrna00117",8815,0.0201671007535617,8
"39567","LOC548597",8816,0.0201678324573218,14
"39259","LOC385938",8817,0.0201687745526025,7
"38074","LOC381890",8818,0.020169122688558,7
"39688","LOC631302",8819,0.0201702128857942,7
"38108","LOC381983",8820,0.0201719146598197,7
"38152","LOC382100",8821,0.0201721340721524,7
"21591","4930597O21Rik",8822,0.0201726207846353,13
"31636","A530026H04Rik",8823,0.020177543794809,7
"25329","LOC102640717",8824,0.0201811869209668,5
"40305","Mll3",8825,0.0201821982063629,13
"19409","Tmem129",8826,0.0201853225522399,34
"36066","LOC100045176",8827,0.020187225655932,7
"36880","LOC229879",8828,0.0201879955430784,7
"15807","Prelid1",8829,0.0201896024719148,26
"33558","D030032D21Rik",8830,0.0201899071198693,7
"39905","LOC666652",8831,0.0201902111436182,7
"38981","LOC384906",8832,0.0201915698132715,7
"18756","Supt5",8833,0.0201927432642049,43
"3550","Anp32b",8834,0.0201932451135971,41
"35932","LOC100043697",8835,0.0201945498161573,7
"47039","Snord23",8836,0.0201946349117345,5
"8566","Fam32a",8837,0.0201958689381307,27
"32940","C130002N06",8838,0.0201984741674116,7
"10164","Golga3",8839,0.0201986962789307,43
"34293","E030040E19Rik",8840,0.0202002371620484,7
"14453","Nup205",8841,0.0202004291465994,34
"22816","Gm12369",8842,0.020200815446505,6
"32782","BC039210",8843,0.0202035355140765,7
"38652","LOC383873",8844,0.0202036450208882,7
"40518","Olfr438",8845,0.0202040425225811,14
"30248","5730403B10Rik",8846,0.0202060281917415,13
"36669","LOC214111",8847,0.0202071396593764,7
"28292","1500009K05Rik",8848,0.0202080070543549,7
"33253","C430018M18Rik",8849,0.02020873805558,7
"41361","Tmem162",8850,0.02021038982899,7
"32385","B130065G19Rik",8851,0.0202107599648729,7
"28938","2410015A16Rik",8852,0.0202124991211215,15
"39724","LOC633966",8853,0.0202134473815208,7
"30407","6030413G23Rik",8854,0.0202189017833362,8
"46076","Gm5453",8855,0.0202192321877381,5
"35947","LOC100043972",8856,0.0202196993465628,7
"45198","Fam108c",8857,0.0202198644300187,5
"36370","LOC100047659",8858,0.0202211216507688,7
"39266","LOC385963",8859,0.0202227702330238,7
"7933","Eef1g",8860,0.0202237344952843,37
"29088","2610109H07Rik",8861,0.0202238768753593,20
"34708","EG432986",8862,0.0202244511342721,7
"41603","V1rh8",8863,0.0202245187130726,14
"22163","E130009M23Rik",8864,0.0202276218641801,13
"39896","LOC666334",8865,0.020229593034892,7
"19512","Tmem234",8866,0.0202312543945274,27
"36750","LOC218696",8867,0.0202358682145366,7
"40946","scl0001923.1_57",8868,0.0202373206142614,7
"33671","D130055G19Rik",8869,0.0202414773951725,7
"16374","Ralgapb",8870,0.0202418232728791,26
"32699","BC018507",8871,0.0202430814917175,12
"16329","Rabgap1",8872,0.0202436293281539,42
"30220","5430420C16Rik",8873,0.0202448466499579,16
"41078","scl0003901.1_33",8874,0.020246592057322,7
"36759","LOC218993",8875,0.0202491784853989,7
"23214","Gm20673",8876,0.0202519992437954,6
"16834","Rnf216",8877,0.0202520491853356,33
"20227","Ube2d2a",8878,0.0202533142437593,26
"36058","LOC100045040",8879,0.0202543609474212,7
"34746","EG434858",8880,0.0202567175152397,8
"30381","5930404L04Rik",8881,0.020257566922926,7
"36633","LOC212252",8882,0.020258197419778,7
"43484","D330037H05Rik",8883,0.0202598795669446,7
"29291","2900016J09Rik",8884,0.0202602558901499,7
"8034","Eif4a3",8885,0.0202608956783712,34
"29080","2610041B18Rik",8886,0.0202638939662896,7
"31775","A630072J24Rik",8887,0.020266236475531,7
"34673","EG383891",8888,0.0202664105179166,7
"28321","1600012F09Rik",8889,0.0202703662335279,12
"16189","Puf60",8890,0.0202712551237043,34
"35161","Fxh",8891,0.0202716866824407,7
"21648","9330020H09Rik",8892,0.0202726933159286,11
"35419","Hak-pending",8893,0.0202752156777593,7
"28610","1810027L02Rik",8894,0.0202780903246697,7
"36047","LOC100044873",8895,0.0202810448023789,7
"33015","C130057N11Rik",8896,0.0202812111380533,7
"32901","C030014F05Rik",8897,0.02028134342851,7
"21736","AA474408",8898,0.0202814457560608,6
"41591","V1rh13",8899,0.020284088336721,15
"34747","EG434907",8900,0.0202871031669822,7
"40220","Mbnl",8901,0.020287335638448,7
"14801","Papd5",8902,0.0202877179906377,34
"33581","D030055F01Rik",8903,0.0202878264467959,7
"28424","1700022L20Rik",8904,0.0202905104759165,7
"34327","E130012G03Rik",8905,0.020293248999599,7
"17519","Sh2b1",8906,0.0202960624427713,35
"41590","V1rh12",8907,0.0202964515547641,15
"28535","1700095D23Rik",8908,0.0202984114383358,7
"40610","OTTMUSG00000015859",8909,0.0203030805316044,8
"27296","Rps19-ps12",8910,0.0203032685997843,6
"34476","E330034L11Rik",8911,0.0203079429075388,7
"41100","scl0004166.1_8",8912,0.0203093208897289,7
"22081","D830014E11Rik",8913,0.0203111949468521,22
"40868","Saps2",8914,0.0203118799897312,8
"3393","Alkbh5",8915,0.0203135080223289,35
"39890","LOC666194",8916,0.0203150259913971,7
"40154","LOC677180",8917,0.0203153711498967,7
"28903","2310076E21Rik",8918,0.0203154212703133,7
"23008","Gm14349",8919,0.0203161495195356,5
"40647","Pcdhga10",8920,0.0203166876176143,20
"36140","LOC100045737",8921,0.0203169471996209,7
"27088","Pde4c",8922,0.0203173812261441,25
"28572","1700127D06Rik",8923,0.0203193441170664,15
"12046","Lamtor5",8924,0.0203196052508191,22
"22879","Gm13007",8925,0.020321915036458,6
"28036","Zmym6",8926,0.0203220594590749,18
"30904","9430024O13Rik",8927,0.0203261487222327,7
"10662","Hectd1",8928,0.0203273156803374,34
"38707","LOC384082",8929,0.0203298078578079,7
"21980","Ceacam19",8930,0.0203305369450496,18
"29121","2610315N17Rik",8931,0.0203308141177941,7
"46216","Gm7138",8932,0.0203309693580445,5
"41430","Trspap1",8933,0.0203324419447202,8
"35752","LOC100039773",8934,0.020332553508738,7
"30412","6030422A11Rik",8935,0.0203331907129786,7
"36301","LOC100047091",8936,0.0203364201949618,7
"22736","Gm11569",8937,0.0203365060870844,10
"40792","Rai16",8938,0.0203383183018301,7
"40269","MJ-3000-114_1506",8939,0.0203390701102593,7
