"","GSE29231","GSE43471","GSE29226","GSE112307"
"ABCA9",0.25949618582792,0.29487499428785,0.224544305720665,0.164414147383397
"ABCB1",0.158030380941878,0.213998447629879,0.0550657795609835,0.0851477056312606
"ABCB10",0.151282575713866,0.208903409035801,0.246000148777858,0.118239942527309
"ABCB11",0.211241175067284,0.176605083067262,0.15348701705137,0.084914919473937
"ABCB4",0.20780439000879,0.20390518729659,0.20453415217034,0.079294210669357
"ABCB5",0.201463743914704,0.209492545617828,0.0823219594088782,0.0484651728337869
"ABCB6",0.255867420398138,0.183813994484906,0.175074830411551,0.184836897269363
"ABCB7",0.207369092485694,0.185381531379114,0.197487694984897,0.229186488306448
"ABCB8",0.210021747756714,0.232767973892427,0.133746889955905,0.139429543714722
"ABCB9",0.182128757846731,0.301583129812019,0.164684827080608,0.103411814817753
"ABCC1",0.212078135072538,0.218653600989368,0.201219308276205,0.0651283657979186
"ABCC10",0.136595080953345,0.207149871632798,0.238213395147649,0.10656630192755
"ABCC11",0.132663063878823,0.155724193228907,0.112939326844527,0.0442915544971061
"ABCC12",0.110761892154226,0.160918848965198,0.126382592410776,0.0443632331895739
"ABCC13",0.0977892572897442,0.132756372248702,0.0885420952679628,0.0517614362135036
"ABCC2",0.217741148178436,0.396529031386625,0.0872501051713124,0.113958536990161
"ABCC3",0.304338358939092,0.747704244057701,0.474817991499676,0.340403616120106
"ABCC4",0.145168996041408,0.202440822886757,0.0898590994827833,0.0775267195547966
"ABCC5",0.588039432189532,0.199220594028246,0.228878517910644,0.17433299552754
"ABCC6",0.11311405496564,0.204645730117858,0.179956466334853,0.115060392551585
"ABCC8",0.195376288749002,0.181828808391401,0.168035633834692,0.0585268445355949
"ABCC9",0.208800431848427,0.322962830840719,0.12281882110801,0.109728210810501
"ABCD1",0.298861721960639,0.268477789006404,0.234892615801714,0.305164605607952
"ABCD2",0.114791192075594,0.2231277115062,0.0782863938568988,0.0560454852997226
"ABCD3",0.176964282154288,0.209838637658272,0.225571462608695,0.105689697709448
"ABCD4",0.131527756759332,0.132232006193537,0.0861963356629349,0.0378307010141017
"ABCE1",0.242091528435488,0.198975792073116,0.202909912703186,0.136117769256614
"ABCF1",0.163859310657596,0.12685407221933,0.119522717051291,0.174928820601626
"ABCF2",0.100269009316807,0.149908114155198,0.160500563607969,0.116398034924521
"ABCF3",0.223816499229761,0.156655675429693,0.194720545873688,0.0938808109865438
"ABCG1",0.125336418263625,0.145540321451339,0.0698262149535429,0.055237369168641
"ABCG2",0.206379716488348,0.223145680626243,0.2109578787973,0.060410392978922
"ABCG4",0.163906045101868,0.200147673576997,0.129055462516993,0.0542244831910676
