"Gene","metaRanking","RP"
"RNU6-1212P",296,545.2
"HIST2H2BC",297,547.5
"MAN1B1-AS1",298,548.9
"RNU6-163P",299,550.2
"SNRPGP10",300,552.1
"RNA5SP318",301,553.5
"PRR30",302,553.8
"C1orf233",303,554.9
"RNA5SP281",304,556.3
"GUSBP11",305,556.7
"H3F3AP5",306,558.2
"LOC400661",307,559.9
"RNA5SP470",308,562.7
"LOC100506548",309,564.2
"RNY1P1",310,565.6
"PPIAP11",311,567.2
"RNU6ATAC28P",312,569.3
"APOPT1",313,572.3
"RN7SL810P",314,573.2
"RNU6-790P",315,574.6
"RNU6ATAC24P",316,576.1
"RNU6-1155P",317,577.6
"RNU6ATAC38P",318,580.5
"JARID2-AS1",319,582.5
"NANOGP1",320,585.5
"RNU6-1095P",321,588.2
"RN7SL432P",322,589.8
"TNRC18P2",323,591
"RNU6ATAC31P",324,592.7
"HIST3H2BA",325,595.3
"CHCHD2P8",326,596.9
"DUS2",327,601.1
"RNU1-22P",328,601.6
"FXYD6P3",329,604.3
"RNU2-32P",330,607.9
"RNU6-445P",331,610
"OR7E128P",332,611.3
"RNU6-796P",333,612.9
"RNU6-274P",334,615.4
"NUTM2G",335,616.8
"MRPS21P2",336,618.1
"NOA1",337,619
"RNA5SP261",338,620.1
"RN7SKP143",339,621.7
"CYCSP51",340,623.2
"RNU6-927P",341,625.7
"POTEKP",342,627.2
"DDX39B",343,628.1
"MIR124-1",344,629.7
"RNU2-17P",345,631.1
"LOC101927058",346,632.7
"ANKRD62",347,635
"LOC101927720",348,639.6
"RNU6-217P",349,641.1
"MIR34C",350,643.3
"OR2V1",351,645.5
"LOC100289361",352,646.9
"RNU6-138P",353,648.4
"RNU6-229P",354,653.1
"TPM3P9",355,656
"RNA5SP424",356,658.9
"RNU6-67P",357,660.8
"RNU6-1134P",358,662.2
"NPIPB9",359,664.2
"RNA5SP252",360,665.9
"KRT8P41",361,667.8
"GOLGA6L10",362,669.6
"RPL37AP8",363,671.8
"RNU6-1237P",364,675.1
"TMA7",365,677.4
"LOC100996619",366,678.1
"RNA5SP499",367,679.4
"ABHD16A",368,680.1
"NOS2P3",369,680.7
"RNU6-721P",370,682.1
"RN7SL8P",371,683.4
"TOB2P1",372,686.6
"RNU6-855P",373,688.1
"RNA5SP507",374,689.5
"RNU6-521P",375,690.9
"RN7SL870P",376,693.1
"LOC440700",377,694.5
"MYL12B",378,694.8
"RNU6-1148P",379,696.2
"LOC101928953",380,697.5
"RP6-11O7.2",381,698.9
"RNU6-939P",382,700.4
"RN7SL430P",383,702
"HSBP1P2",384,703.3
"RN7SKP50",385,704.6
"RNU6-53P",386,706
"RN7SL97P",387,708.8
"ASIC3",388,710.5
"RP11-95D17.1",389,711.8
"RN7SKP63",390,713.1
"ATP5G1P5",391,715.3
"RN7SL146P",392,717.4
"RNA5SP121",393,719.9
"NELFA",394,721.5
"LAMTOR5",395,722.7
"RPL22P19",396,723.9
"FAM35DP",397,727.8
"LINC00896",398,728.5
"RNU6-209P",399,730
"RNA5-8SP6",400,731.6
"GJA1P1",401,733.6
"RN7SL111P",402,735.4
"LOC100505918",403,736.8
"RN7SKP235",404,738.5
"RPS25",405,738.8
"RNU6-1131P",406,740.4
"MYL8P",407,741.8
"RNU2-47P",408,743.8
"RNA5SP214",409,747
"CHCHD2P9",410,749.2
"RN7SL612P",411,753.6
"ACSM6",412,755
"RNU6-391P",413,757.1
"TCEB2P2",414,758.7
"WWP1P1",415,760.3
"COA3",416,761.4
"BZRAP1-AS1",417,764.3
"AC017104.6",418,765.5
"DXO",419,766
"RPL7P23",420,768.2
"CCDC183",421,769.9
"RNA5SP514",422,771.4
"OR10D4P",423,777.5
"RN7SL526P",424,778.8
"THEM6",425,781.8
"RNU2-3P",426,781.9
"MIR520B",427,783.3
"RPS4XP2",428,785.2
"SRSF9",429,786.5
"DKFZP434F142",430,786.5
"LOC100130507",431,788
"MAGEB6P1",432,790.3
"FAM83A-AS1",433,793
"LINC00529",434,794
"SNORD115-40",435,794.5
"FLJ44874",436,795.8
"RN7SL156P",437,797.2
"SPDYE7P",438,799
"RNU6-551P",439,800.4
"SCART1",440,801.3
"BC070118",441,802.2
"RNA5SP170",442,803.9
"SMCO2",443,805.3
"NPIPA3",444,807.7
"KRT18P32",445,809.6
"RNU6-319P",446,810.8
"RN7SL833P",447,812.2
"RN7SL802P",448,814.1
"VWA9",449,818.3
"ARAFP2",450,819.4
"H3F3AP3",451,820.8
"RN7SKP170",452,823.4
"BCRP2",453,824.8
"LOC101928221",454,826.1
"MZF1",455,829.7
"RNU2-29P",456,830.4
"LOC101929115",457,831.8
"RNU6-422P",458,833.1
"OR9I2P",459,834.7
"LOC101929268",460,836
"RNU5E-4P",461,837.5
"LOC101927914",462,839
"RNU6-1034P",463,840.5
"RNU4-58P",464,841.8
"RNU6-596P",465,843.2
"RNA5SP117",466,844.4
"RNA5SP383",467,846.4
"OR9I3P",468,847.9
"RN7SKP142",469,849.5
"CWH43",470,849.6
"RNA5SP490",471,851
"RNA5SP256",472,852.4
"RNA5SP131",473,853.8
"TMEM8C",474,856.2
"RNA5SP151",475,857.8
"FAM161B",476,860.1
"MIR135A1",477,860.4
"RN7SKP279",478,861.8
"LINC00994",479,865.6
"SIGLEC27P",480,867.6
"LOC101930072",481,868.9
"CDC42P6",482,870.3
"RNA5SP223",483,871.7
"RN7SKP145",484,872.9
"RNU6-61P",485,874.2
"RN7SKP11",486,876.5
"RP11-36B6.1",487,878.1
"CBX1P1",488,881.4
"RN7SKP269",489,883.7
"CENPBD1P1",490,885.2
"RN7SL267P",491,885.2
"RP11-258C19.7",492,886.5
"RNU2-43P",493,887.9
"AX747405",494,889.9
"LOC100996696",495,891.3
"RNA5SP329",496,891.4
"RNA5SP375",497,892.9
"PABPC1P2",498,894.1
"URGCP-MRPS24",499,898.5
"RNU6-754P",500,900.7
"RN7SKP136",501,902.4
"RNU6-1084P",502,904.4
"RPL30",503,904.8
"RNU6-1266P",504,906
"ARPIN",505,907
"PCAT19",506,908.6
"RN7SL396P",507,910.2
"RNU6-1097P",508,911.6
"RN7SL292P",509,913.2
"RNU6-828P",510,915
"DPPA3P2",511,918
"ZNF625-ZNF20",512,919.9
"RPSAP58",513,921.3
"RNU6-655P",514,923.2
"EIF2S2P3",515,924.5
"BTF3P9",516,926.9
"OR14L1P",517,928.8
"SLC25A53",518,930.3
"OR7E5P",519,931.6
"WDR96",520,931.7
"SPDYE4",521,933.3
"LOC100996428",522,934.7
"AKR7A2P1",523,936.7
"RN7SKP21",524,938.1
"RN7SL553P",525,940.4
"TSPY14P",526,943
