"Gene","metaRanking","RP"
"APOPT1",540,1330
"ERI3",541,1331
"LOC100130522",542,1333
"LOC646644",543,1335
"ZNF252",544,1337
"COPRS",545,1338
"LOC100128822",546,1340
"RIMKLBP1",547,1341
"NOP14",548,1342
"LOC100130616",549,1343
"LOC100131098",550,1345
"LOC728297",551,1347
"LOC100009676",552,1349
"LOC731275",553,1352
"LOC728537",554,1354
"LOC646260",555,1356
"LOC728275",556,1358
"RRAGA",557,1359
"PHB2",558,1360
"LOC100131960",559,1363
"FTSJ2",560,1364
"DNM1P33",561,1366
"LOC100132493",562,1368
"LOC102288414",563,1370
"RPN1",564,1372
"LOC729952",565,1372
"RPL36P18",566,1373
"LOC100132919",567,1375
"LOC100130673",568,1379
"LAPTM4A",569,1380
"LOC100129083",570,1382
"LOC730754",571,1383
"LOC100130135",572,1385
"RBBP7",573,1386
"SRSF2",574,1393
"NCK2",575,1394
"EEF1GP8",576,1395
"LOC100128935",577,1399
"PPP6R3",578,1401
"RPS12",579,1403
"HEATR7A",580,1404
"LOC730163",581,1406
"ZNF384",582,1408
"LOC100129391",583,1408
"CUL4A",584,1409
"LOC100128485",585,1410
"LOC100129726",586,1411
"RPL27",587,1412
"CYB561D1",588,1412
"POLR3E",589,1413
"FLJ10088",590,1416
"LOC441768",591,1418
"NCOA6",592,1418
"RPL39",593,1419
"LOC100130825",594,1420
"NELFE",595,1421
"CT47A7",596,1424
"PHRF1",597,1424
"LOC646836",598,1425
"LOC732435",599,1427
"RPS25",600,1428
"C20orf201",601,1430
"LOC100131892",602,1432
"LOC342531",603,1435
"LOC100132310",604,1436
"LOC100128265",605,1438
"LOC401730",606,1440
"ZBTB12P1",607,1442
"PYCR2",608,1442
"C1orf174",609,1443
"LOC648927",610,1443
"LOC100132240",611,1445
"ARMC2-AS1",612,1447
"LOC100129865",613,1452
"LOC340239",614,1453
"LOC100130769",615,1456
"NARS",616,1457
"POTEB",617,1458
"LOC644079",618,1461
"LOC100128049",619,1463
"LOC360030",620,1465
"LOC728115",621,1469
"LOC400446",622,1474
"LOC100131336",623,1476
"LOC731075",624,1477
"LOC100128193",625,1479
"NCOA4",626,1480
"LOC728661",627,1481
"LOC100129608",628,1486
"LOC729789",629,1490
"MRFAP1",630,1491
"LOC116437",631,1495
"RN7SL521P",632,1498
"COMMD7",633,1500
"LOC728217",634,1502
"LOC100133724",635,1503
"LOC647013",636,1505
"LOC100131811",637,1506
"LOC645744",638,1509
"LOC727839",639,1512
"LOC729127",640,1515
"LOC729739",641,1517
"UBXN4",642,1517
"LOC100132773",643,1518
"LOC100132593",644,1522
"BEYLA",645,1525
"LOC100129842",646,1526
"PCBP1",647,1526
"LOC100128907",648,1528
"LOC644387",649,1531
"CXorf18",650,1532
"LOC100134006",651,1536
"SUMO3",652,1537
"LOC100131575",653,1539
"LOC731542",654,1540
"LOC100131656",655,1543
"CT45A4",656,1545
"LOC100128382",657,1546
"LOC728379",658,1548
"LOC100128007",659,1550
"RP3-507I15.1",660,1554
"C9orf70",661,1558
"NBPF9",662,1558
"LOC387924",663,1559
"LOC729770",664,1561
"COA3",665,1562
"LOC728773",666,1563
"LOC100129551",667,1566
"LOC100129559",668,1568
"RPS15",669,1569
"TRIM53",670,1569
"SDHAP1",671,1570
"LOC100130383",672,1572
"LOC389049",673,1578
"L3MBTL2",674,1580
"LOC730038",675,1580
"RIC8A",676,1582
"LOC650236",677,1583
"PHF14",678,1584
"KRT17P2",679,1585
"SLC25A6",680,1587
"MTDH",681,1588
"OCIAD1",682,1590
"UBE2E1",683,1596
"LOC100131549",684,1596
"LOC100132635",685,1599
"LOC651771",686,1600
"LOC100128260",687,1602
"CHMP3",688,1602
"TOPAZ1",689,1603
"LOC729608",690,1606
"CWC25",691,1607
"LOC649489",692,1609
"CTNND1",693,1609
"TSR3",694,1610
"RPL30",695,1611
"LOC100128269",696,1611
"LOC727970",697,1613
"RPL7",698,1617
"LOC100131091",699,1618
