"","GSE27657","GSE27916","GSE41168","GSE61302","GSE66159","GSE71416","GSE88837"
"ABCB11",0.100796061713205,0.0046098190911756,0.121558534379484,0.13904976189054,0.691773982312067,0.0952319379778989,0.973047121359935
"ABCB4",0.368598252455311,0.0047481849376518,0.126790563131636,0.611592325554417,0.398082465530257,0.0964947554444244,0.483653319443701
"ABCB5",0.170956833243259,0.0055916478035326,0.153887700581238,1.00884064886099,0.49067690822907,0.107222525171923,0.242624686082486
"ABCB6",0.101839408073153,0.00774291121513076,0.0609212683099104,0.20191400653432,0.167697815255405,0.0859881570524807,0.236572910938333
"ABCB7",0.0665093333093879,0.0137324557919225,0.0380377179098988,0.164334073805868,0.194944885427456,0.133770329438868,0.29665842098786
"ABCB8",0.205612786923911,0.00648338609637543,0.146229150852504,0.182500348873522,0.543521287244957,0.0588543943937467,0.189211783843242
"ABCB9",0.114256400967621,0.00953655561105102,0.135381197127075,0.244540339561779,0.460439901678206,0.111632812521971,0.408729677330653
"ABCC1",0.0866207226666314,0.0236557956104355,0.0834316513105697,0.0824887658814819,0.221674418849921,0.151602979251995,0.350840274716552
"ABCC10",0.0805363956403044,0.0111914551358903,0.06103776767504,0.446877423142557,0.222390096528084,0.110999291279162,0.461329532825664
"ABCC11",0.0562093799590247,0.00452459916496481,0.136193394429269,0.129447062816267,0.47365006625836,0.0902422691427502,0.461398004237869
"ABCC12",0.106496819998748,0.00456405529895341,0.13338960678793,0.12993534485428,0.713336154311314,0.17284623598458,1.39130367113521
"ABCC13",0.101404579756513,0.00496789638499096,0.133307460433327,0.143206005850345,0.377274502944468,0.110394576711852,0.282800308347574
"ABCC2",0.0689786276673052,0.00740858682271854,0.216119749601067,0.672967556347718,0.794330266247698,0.105958708692706,0.791223050199885
"ABCC3",0.0660071225463464,0.025001543258265,0.108827276847776,0.263954842718209,0.705328441660021,0.0704953687173648,0.47065211640664
"ABCC4",0.140116152575042,0.00439032826835773,0.120100728771317,0.340272938191656,0.264149754807087,0.154535684311469,0.37006559154615
"ABCC5",0.0713795555484695,0.0100189988081114,0.125572345055356,0.28271659222981,0.269533078396679,0.169933467204425,0.512098672009416
"ABCC6",0.13894795319416,0.0298229063711275,0.0876948270525834,0.13484657857551,0.327405277450771,0.169489191167692,0.587417738076751
"ABCC6P1",0.173227165200519,0.0085338426678484,0.195076145062419,0.135983198173596,0.473642762515459,0.112328219504993,0.63364078118905
"ABCC8",0.122334175203092,0.00644812478283056,0.0934415208065106,0.148679856876636,0.397426305098354,0.119207885184655,0.503187132099757
"ABCC9",0.220398012019691,0.0133839837604604,0.208796458680109,0.176780667775073,0.283065250623548,0.158792243776342,0.400399674578096
"ABCD1",0.145596016054128,0.0163647681335203,0.085108056270111,NA,0.392817619536467,0.084639691263855,0.371285233657201
"ABCD1P2",0.149398638353421,0.00825648106875254,0.186742601473683,0.111969371927981,0.642145988531625,0.101354066330945,0.935596341339842
"ABCD2",0.21863111217644,0.0224436868403301,0.166148909038924,0.686877137182596,0.378805600782235,0.205705866988626,0.858739541519483
"ABCD3",0.0842139966355779,0.0100333962404907,0.0382613116385459,0.130032240206423,0.140246453655172,0.137490441815875,0.267254010234363
"ABCD4",0.0669029681356388,0.00842630994543153,0.0491894390533321,0.106516329492733,0.196293885562194,0.0863885758995535,0.375779927590709
"ABCE1",0.0660083692598631,0.0115239421486197,0.0403530246802702,0.168583214896877,0.125213584085371,0.154560373182972,0.293115975027934
"ABCF1",0.0287492566682495,0.0134849299057042,0.0399960457325822,0.220125731741134,0.104396598482242,0.163946202141781,0.412260994726562
"ABCF2",0.0994802083098639,0.0106813903728685,0.0893976321464446,0.220366439304072,0.269887532377406,0.124128507587772,0.226748951740715
"ABCF3",0.0466873737427498,0.0111782722439252,0.0507595350831974,0.193222622230195,0.250634827465645,0.0359130588285936,0.332493906327678
"ABCG1",0.151290992380369,0.00976182868781418,0.189757698798139,0.692839700616749,0.355445962003487,0.153970115133607,0.602362041327328
"ABCG2",0.167640150895877,0.0210956877215543,0.196374347663252,0.228941064126229,0.644327309916571,0.141020750848688,0.482023531447315
"ABCG4",0.139657410170536,0.0067002315050029,0.172641927626627,0.143564826484956,0.526061116234895,0.136520310782593,0.575144608880962
"ABCG5",0.146039108413987,0.00643782990258876,0.225466825634581,0.0775831693256421,0.94390233601995,0.129519813742246,0.413970147673784
