"","GSE25401","GSE25910","GSE33070","GSE73655","GSE41223","GSE54280"
"ABCB1",0.341030664377933,0.299736660373196,0.0724424251100329,0.084072977500957,0.247827024887965,0.013155706969502
"ABCB10",0.213782613556094,0.417355996740647,0.013863391541202,0.0107831032669432,0.204395891062945,0.00717212469196689
"ABCB11",0.272325926947198,0.379761251823541,0.0540031118283269,0.0889295401667173,0.331407635830687,0.0172104496391401
"ABCB4",0.20769294123636,0.327315303787516,0.0460825388498259,0.0343423633264868,0.303141966329802,0.0755812638247804
"ABCB5",0.376563644746621,0.638690837491046,0.117958054118702,0.0476886509445986,0.501278357187412,0.01830234695019
"ABCB6",0.263943587077586,0.46267723945746,0.0347824629503585,0.0162014611486992,0.255601886077877,0.0478116169363593
"ABCB7",0.249523828863496,0.32977771374407,0.0327109791978382,0.0378217079674887,0.215314491837759,0.0128779011552767
"ABCB8",0.249445085661822,0.299341764006078,0.0228308097257654,0.0147054759772984,0.11078889422709,0.0069415448381879
"ABCB9",0.295372016284937,0.246768156679259,0.0187200085073332,0.012925966195238,0.275514265302595,0.0100640924882437
"ABCC1",0.341188827191173,0.430750268260578,0.0358526991855102,0.0262482774801349,0.274536658184848,0.0230654079832468
"ABCC10",0.288201856617205,0.207278631380999,0.0289174943579853,0.00934294256169398,0.161532381762684,0.00772155375918862
"ABCC11",0.350752313856355,0.23509759397885,0.0256466097485307,0.0239639102300874,0.299086111653491,0.0165136681559624
"ABCC12",0.258656626489167,0.245819037710948,0.0214838815011617,0.0215145896485929,0.789195865404754,0.00470432698450515
"ABCC13",0.237075240592757,0.255441489906762,0.0341764453053448,0.0369906871777376,0.603388354722166,0.016222141052312
"ABCC2",0.373148953700471,0.451028523231867,0.0340807033872437,0.0186305430090568,0.705850686150172,0.0387424469201771
"ABCC3",0.483799813262297,0.527936581383612,0.0663757711809423,0.0586272663455237,0.247698926262313,0.0508606494463998
"ABCC4",0.271558445272979,0.529374509795512,0.0589701454654712,0.0508272372338475,0.228579370735591,0.0108824419545692
"ABCC5",0.407279109255825,0.249597340638724,0.0459978188021954,0.0484219666286453,0.303426043410259,0.034233292160422
"ABCC6",0.289960864740559,0.25218730979112,0.02939436465691,0.0273623518434094,0.273967563774164,0.014969814017618
"ABCC8",0.234494188580342,0.20514241695002,0.0236587888285801,0.017201926433742,0.343670929865988,0.0156877480805117
"ABCC9",0.241769388164567,0.54018193866456,0.0593071724717488,0.0331788057045533,0.234971072400908,0.0327139667987828
"ABCD1",0.32330489668552,0.323037868550769,0.0323956274741774,0.0310451159294849,0.207433571051485,0.0238292530692494
"ABCD2",0.287204671582337,0.726245250959241,0.076488504015392,0.0439562379592183,0.612861240367415,0.024801411381609
"ABCD3",0.199843914429752,0.344247012213354,0.0259321208031125,0.0262837128345357,0.231107877001978,0.0101136095162863
"ABCD4",0.289322193399823,0.225543068864698,0.019116349260736,0.0195169339585552,0.153782176464033,0.0172519425470824
"ABCE1",0.269725271130168,0.303336378899958,0.038858089422812,0.0402020688437002,0.322564383892344,0.0302323098690226
"ABCF1",0.276733563179788,0.291461974705369,0.0278981888826447,0.0116841339914224,0.220755878179026,0.00811684874460584
"ABCF2",0.294071957706965,0.329741219778547,0.0186322564399079,0.0204048370861218,0.174799262191032,0.0168202053581623
"ABCF3",0.241654518217806,0.290628440075475,0.0345928394057674,0.0251978451312307,0.278684882979756,0.00878607098830745
"ABCG1",0.368638224592827,0.491926383869878,0.0457301877143936,0.034178187096635,0.791324538795456,0.0203634077504261
"ABCG2",0.435914768164799,0.563998990427035,0.0286289953321234,0.0320714225106619,1.19404178187858,0.0238652565331651
