"","GSE29231","GSE43471","GSE29226","GSE112307"
"ABCF3",0.212482526815054,0.173858504336364,0.243370422462032,0.265541123638567
"ABCG1",0.128430650792818,0.139966643319643,0.0827626859648083,0.0750932465539503
"ABCG2",0.18640623412895,0.228382185005267,0.170900523735665,0.0576347914982892
"ABCG4",0.174377664917859,0.193101408635472,0.111377040862813,0.0899752900164461
"ABCG5",0.184686181874295,0.160298455857209,0.16194783189577,0.0748350532739641
"ABCG8",0.18812887136398,0.199763369861322,0.121356630735237,0.0635911265650947
"ABHD1",0.228141113710402,0.250849254866131,0.237243949627616,0.126921033151609
"ABHD10",0.301058502116079,0.268073284944954,0.403722198494146,0.158618660537602
"ABHD11",0.122929040987797,0.238445673730112,0.200105707868528,0.0616369562195494
"ABHD12",0.29038665180624,0.226020638096292,0.184118370123019,0.130667696132875
"ABHD12B",0.122498140908216,0.149951057428153,0.0876806710216566,0.0588937571298176
"ABHD13",0.149998467544665,0.134681173841222,0.075320505908301,0.0826751021950762
"ABHD14A",0.120954477546257,0.197861866464805,0.288025188323153,0.198154018980964
"ABHD14B",0.171234388240964,0.282830563085577,0.280506292617793,0.41331534331976
"ABHD2",0.185480388670812,0.179503669767168,0.131166930488112,0.193345372020603
"ABHD3",0.257733108944032,0.202618831144861,0.197953487986176,0.191684770041885
"ABHD4",0.207622720547387,0.189791475238906,0.201154777434609,0.276849500403964
"ABHD5",0.451446553600968,0.336604470988347,0.333807830322681,0.410854568921873
"ABHD6",0.0953489356674584,0.180893892366437,0.23742539192452,0.21348746155906
"ABHD7",0.17807969770393,0.244174841614577,0.144981033435637,0.116216857100072
"ABHD8",0.196529992354535,0.157286420466533,0.143014131280482,0.0951772059918591
"ABHD9",0.147046720856167,0.214496480169318,0.145158343121586,0.0900510077202849
"ABI1",0.176915765636049,0.175495142315316,0.156513926004679,0.122969159753257
"ABI2",0.139848342805403,0.11712399706944,0.0925709615923156,0.0764102243496338
"ABI3",0.24209990496669,0.215533603561304,0.167406471354943,0.127804253741659
"ABI3BP",0.43717558994495,0.322398813765126,0.43598495926575,0.268722465500219
"ABL1",0.127604770908754,0.199698742917723,0.126184306764938,0.0579795365971819
"ABL2",0.120308844859528,0.14993483705454,0.21981190213282,0.0420806409897227
"ABLIM1",0.400337173808747,0.312704912977256,0.283799320083412,0.225904109359088
"ABLIM2",0.305709006302013,0.261012285556235,0.26777312138918,0.142047222002283
"ABLIM3",0.260223850367136,0.25575616664862,0.207559069610756,0.273978787802659
"ABO",0.137433817251739,0.203615690785705,0.14839864998784,0.0518836294656965
"ABP1",0.17557364167242,0.20172951901651,0.166380657371524,0.0663712706967155
"ABR",0.139998217698331,0.174374258622997,0.119330342232538,0.0506514169152959
"ABRA",0.159164798668439,0.166205208639286,0.16461117415848,0.0643828014318584
"ABT1",0.156137922733976,0.235926667446188,0.217663855929022,0.14652149470595
"ABTB1",0.367309035953573,0.19660968935163,0.229146399494309,0.185326278502423
"ABTB2",0.181171735556814,0.317700918560644,0.220217307709305,0.102545829207691
"ACAA1",0.165789211047788,0.17292524416152,0.195526590568579,0.269108418091145
"ACAA2",0.270254592298188,0.256499512405702,0.222986357279767,0.204200194464063
"ACACA",0.425735771590015,0.445470782069773,0.684544445694378,0.349312361027171
