"","GSE32512","GSE27666"
"ABTB2",0.0633075460035154,0.266017695631068
"ACAA1",0.0198859721101943,0.13761523111214
"ACAA2",0.0269204748927147,0.200157098398121
"ACACA",0.0549815748094162,0.455573377841032
"ACACB",0.0248722716787204,0.237715632936049
"ACAD10",0.0492565876049839,0.208774231598189
"ACAD11",0.0264545659950772,0.174268893505169
"ACAD8",0.0291564745336617,0.170291550524993
"ACAD9",0.0208205013520859,0.140047070108206
"ACADL",0.0492222263365169,0.276099034696606
"ACADM",0.031417958190758,0.238267482435983
"ACADS",0.0343586718499155,0.221469254979303
"ACADSB",0.066357702323917,0.221909690989038
"ACADVL",0.0251685749001537,0.186835588642649
"ACAN",0.0291666970376871,0.263886926307126
"ACAT1",0.0192282352287148,0.168014800627788
"ACAT2",0.0243756297090843,0.217098751999793
"ACBD3",0.0179731765205655,0.118665089096246
"ACBD4",0.0709167663411434,0.241517164263503
"ACBD5",0.0392752766403605,0.243564669926651
"ACBD6",0.0287219934833606,0.145712765565561
"ACBD7",0.0269104061250173,0.235889433307018
"ACCN1",0.0231179880998944,0.17421091803409
"ACCN2",0.0403008823742058,0.189324010993828
"ACCN3",0.0427745039958574,0.15615435992136
"ACCN4",0.0339450724086064,0.216251325957827
"ACCN5",0.0383396949953327,0.303256534803709
"ACD",0.0338716959485812,0.163901440006862
"ACE",0.0285902274086343,0.167737177673004
"ACE2",0.0904313584985892,0.314010326797011
"ACHE",0.0422159260747001,0.218349350787619
"ACIN1",0.0164257228277193,0.11069702479617
"ACLY",0.0581077816877985,0.785087376907593
"ACMSD",0.057949552283759,0.192423711796026
"ACN9",0.022624564610119,0.135818649702256
"ACO1",0.0135008686094795,0.12466172451739
"ACO2",0.039619332243645,0.274814037550299
"ACOT1",0.0385813215155669,0.269614517942297
"ACOT11",0.048092453941708,0.299472984834176
"ACOT12",0.0417377328648061,0.245968703725594
"ACOT2",0.0486292103373052,0.308550684173218
"ACOT4",0.0315505488032936,0.209093021086816
"ACOT6",0.0355533323240418,0.290497869995566
"ACOT7",0.0332116784214377,0.166310710133592
"ACOT8",0.0690492407338319,0.241247625167758
"ACOT9",0.0291613761357183,0.14640665780204
"ACOX1",0.0678805060021061,0.252091043473776
"ACOX2",0.022397635423172,0.166581196017517
"ACOX3",0.0260077876150262,0.145291941654671
"ACOXL",0.0276601678340633,0.259430761955632
"ACP1",0.0151234967986423,0.109534128547779
"ACP2",0.037819236574032,0.216627071511062
"ACP5",0.16938502979832,1.22015679312847
"ACP6",0.0691201730844939,0.283519357348717
"ACPL2",0.0400561017073489,0.157061102034511
"ACPP",0.038151992184278,0.298835704585076
"ACPT",0.0460986452510368,0.381651352659088
"ACR",0.0777713540218307,0.270098669783578
"ACRBP",0.190793591669256,1.16072620002306
"ACRC",0.0435276846149956,0.166340752345843
"ACRV1",0.049851934726229,0.219401847493825
"ACSBG1",0.0776460460937569,0.282026381890362
"ACSBG2",0.0415832379917253,0.228764911322497
"ACSF3",0.0529953597455743,0.306086926074522
"ACSL1",0.034531996087346,0.286329175833184
"ACSL3",0.0329962166758227,0.169079846333697
"ACSL4",0.0322834252399847,0.155878217857785
"ACSL5",0.0443577299809427,0.209233207322737
"ACSL6",0.020744606456355,0.157898591211767
"ACSM1",0.0255329729320553,0.31832891663728
"ACSM2A",0.0451135541152408,0.245230189845696
"ACSM2B",0.0255553034787573,0.170715544977209
"ACSM3",0.0262819576098451,0.197629125452833
"ACSM4",0.0277640885037199,0.270908569249502
"ACSM5",0.0501184251537359,0.29304177402223
"ACSS1",0.0676525797481791,0.243267787986627
