"X","medianGPL1261","medianGPL6246","medianGPL6887","medianGPL6885","medianGPL16570"
"1110036E04Rik",NA,NA,NA,NA,0.0376710823379702
"1110036O03Rik",NA,NA,0.0310905434825009,0.153837425187178,NA
"1110037F02Rik",0.0520393815334376,0.0198952017279225,0.0140612395585149,NA,0.0127338126936363
"1110037J23Rik",NA,NA,0.023321454679192,NA,NA
"1110037N09Rik",NA,NA,NA,0.136454718737966,NA
"1110037P11Rik",NA,NA,NA,0.0339884633737655,NA
"1110037P13Rik",NA,NA,0.019951069223259,NA,NA
"1110038B12Rik",0.100727683686011,0.0377605765059517,0.0354951123891578,NA,0.0279191975237654
"1110038D17Rik",NA,NA,0.0241739316237498,0.0869198680704369,0.0395342123758621
"1110038F14Rik",0.087023789712866,0.0128938313824861,0.0147800955020119,0.0851805169723093,0.0189653976309036
"1110038G02Rik",NA,NA,0.034735362705479,NA,NA
"1110039B18Rik",NA,NA,0.0166777819367923,0.0845180567628088,NA
"1110046J04Rik",0.133653476893001,NA,NA,NA,0.0476031915349331
"1110046J11Rik",NA,NA,0.0311867547702374,NA,NA
"1110048D14Rik",NA,NA,0.0281229004013952,0.0819774239394681,NA
"1110049B09Rik",NA,NA,0.0617627521310491,0.208148225400554,NA
"1110049F12Rik",NA,NA,0.0146752275749951,0.0941243250945595,0.0284636619899159
"1110049G11Rik",NA,NA,NA,0.133297585549859,NA
"1110049L02Rik",NA,NA,0.015628577348592,NA,NA
"1110049N09Rik",NA,NA,0.0159622356056699,NA,NA
"1110050B14Rik",NA,NA,0.0178550562429474,NA,NA
"1110050K14Rik",NA,NA,NA,NA,0.0586148366700758
"1110050P16Rik",0.122104441881671,NA,NA,NA,NA
"1110051B16Rik",NA,NA,NA,0.0277911590439358,NA
"1110051M20Rik",0.0830540507922589,0.0220882335619202,0.00997766345479877,0.0388776019382528,0.0314441082259206
"1110051N18Rik",NA,NA,0.0125112148662116,NA,NA
"1110054B14Rik",NA,NA,0.0188516920135388,NA,NA
"1110054H05Rik",NA,NA,0.0271579277617672,NA,NA
"1110054M08Rik",0.073537926015413,NA,NA,NA,NA
"1110054N06Rik",NA,NA,NA,0.104689504190117,NA
"1110054O05Rik",NA,NA,0.0142030002496887,0.0745197338770483,0.0360583162813386
"1110054P19Rik",NA,NA,0.014162431785634,NA,NA
"1110055J05Rik",NA,NA,NA,0.0382150709328926,NA
"1110055L24Rik",NA,NA,NA,0.107343258533852,NA
"1110055N21Rik",NA,NA,0.022935906992299,NA,NA
"1110056A04Rik",NA,NA,NA,0.0956566216613071,NA
"1110056N09Rik",NA,NA,NA,0.0707180699369409,NA
"1110057K04Rik",0.0755158964964554,0.0227430934676318,0.0220454811233051,0.137227473252998,0.0205121554720885
"1110057P08Rik",NA,0.0355155562371203,0.0115088170258641,NA,NA
"1110058A15Rik",NA,NA,NA,0.0377480441093105,NA
"1110058L19Rik",0.0984141755762079,0.0258586818767183,0.0248013818848751,0.0926884712364458,0.040022224207409
"1110059E24Rik",0.0665502125247651,0.0141794600704855,0.0135107369687868,0.0887646438703058,0.0167424225071017
"1110059F07Rik",NA,NA,NA,0.111817093313277,NA
"1110059G02Rik",0.074553216771198,NA,0.0434352356724914,NA,NA
