"","GSE25401","GSE25910","GSE33070","GSE73655","GSE41223","GSE54280"
"AAMP",0.264274723446727,0.204953902020048,0.0312210437516133,0.0268668230493295,0.186463886835039,0.0136726790575202
"AANAT",0.311248682824025,0.304556500607533,0.0230000888852653,0.0132845250212334,0.39629211992571,0.00666863078436846
"AAR2",0.220897034444649,0.156731421373898,0.0337181647155844,0.0131973324709553,0.219038318452381,0.00629169106238179
"AARD",0.269911787266684,0.182557841558061,0.0125265460741471,0.0388460249267282,0.196338383838384,0.0798601377987046
"AARS",0.20371554897208,0.270169929359337,0.0080675839423936,0.0156464745039321,0.381289679135209,0.0163584864229908
"AARS2",0.275706662820883,0.252488290398127,0.018195921638496,0.0115064317323339,0.12529958677686,0.0380035643822814
"AASDH",0.278837127434874,0.28466844143272,0.0214653926344645,0.0345476733398649,0.303356919532664,0.0280134119952062
"AASDHPPT",0.140052461337925,0.167242712642806,0.0138617443861338,0.0236805347266225,0.19662326908037,0.0173509558688888
"AASS",0.312916653502259,0.247683784601422,0.0452834455574624,0.038944884016426,0.264601960110041,0.0517753728761965
"AATF",0.246025181108944,0.333681171435182,0.0242919612485827,0.0114634465191138,0.121960970225291,0.0113944631954962
"AATK",0.2601585728444,0.155970483005367,0.0237338015922848,0.0170599373548559,0.227962146746176,0.0103083594833694
"AATK-AS1",0.237433556736769,0.136267890899271,0.0234046209467127,0.0118709276569184,0.273557843445457,0.012930708462896
"ABAT",0.251952518878659,0.241883821932682,0.0183207795825807,0.0204125976191322,0.187553640394793,0.0267624147668253
"ABCA1",0.264248317414568,0.346919082792362,0.0419274466884626,0.0368928501517464,0.778892148454251,0.128746859012454
"ABCA10",0.342694799629769,0.389707630140242,0.0394377654040928,0.0416428970374331,0.558781069545569,0.0313739222890816
"ABCA11P",0.37095147219193,0.2200800674252,0.0348210286035015,0.0652101605832417,0.472125710675932,0.00864722273279788
"ABCA12",0.314828535139712,0.312214089661482,0.013530358795679,0.0251355165628702,0.385916601101495,0.0248607264624086
"ABCA13",0.314903846153846,0.313271103896104,0.0261543370187056,0.013836045645486,0.682053600789214,0.013905393485051
"ABCA2",0.254941283493219,0.368658051689861,0.0331038727363168,0.0161013036335055,0.222086161678494,0.0415120206568604
"ABCA3",0.297113961519487,0.150579793851075,0.0244358834910839,0.00858180226385106,0.149926799198644,0.035722332582341
"ABCA4",0.318479422768573,0.189469078179697,0.0231542018841948,0.0178085762103213,0.301062091503268,0.0064679965776382
"ABCA5",0.265963235821752,0.268903529100179,0.0314048421151632,0.042831735673099,0.230706723625557,0.0328285788077523
"ABCA6",0.344317223939309,0.567143544121183,0.0276729087008587,0.0327626459460824,0.50428089690812,0.242853790732202
"ABCA7",0.251397914462748,0.309479865771812,0.0181897199466487,0.00770177409230568,0.215573542694365,0.018802001426098
"ABCA8",0.285742905344339,0.545027401676338,0.0549286806442361,0.0251675726157646,0.363433803273375,0.23534683282819
"ABCA9",0.324192131601363,0.772966774113563,0.0298944410161721,0.0315845552246625,0.258772028920018,0.276641538993959
"ABCB1",0.34990552668871,0.328045325779037,0.0448302210066319,0.0612328705305436,0.251142204454597,0.00396746965050772
"ABCB10",0.175375047613467,0.182422941865002,0.0080394260222035,0.0086624313838632,0.19263468303787,0.00781110557029777
"ABCB11",0.257649197212966,0.26189076528431,0.0260732193074237,0.0337230431369731,0.275795661869045,0.0021971114282521
"ABCB4",0.260853800038677,0.330183276059565,0.0401535445503452,0.0376073035371182,0.209985493230174,0.0863169550304305
"ABCB5",0.408681906614786,0.559737923946557,0.158349037680304,0.0444952503378157,0.655254691689008,0.0140704857672909
"ABCB6",0.298739649293716,0.35273561958272,0.0250282903313279,0.0177981655198228,0.305836407270788,0.0290832011257275
"ABCB7",0.260010214504597,0.20040568503594,0.0374684281201786,0.0234033188401568,0.206846447732076,0.00626364107446451
"ABCB8",0.237834137613187,0.203719073591021,0.0177489115485242,0.0182371250660594,0.0633209384446643,0.00565816827719627
"ABCB9",0.34125,0.259938409854423,0.0199881316736721,0.0078701174270541,0.248760272031737,0.0109569355320829
"ABCC1",0.392364511916422,0.380837953251423,0.0302280904473574,0.0118669904542269,0.250966540976564,0.00974519673750312
"ABCC10",0.262431859479104,0.132643506438852,0.0277331948590068,0.00852400985019486,0.168891288366109,0.00470208755341629
