"","GSE73108","GSE72158","GSE65221","GSE58559","GSE42809","GSE119717","GSE115645"
"AADAT",0.0209751381184956,0.0493136530780639,0.0863339862795969,0.0270728756458376,0.00326495775549736,0.0423915574856317,0.26889716767603
"AAGAB",0.0557695372351297,0.318487754247805,0.287401294158004,0.0386575816958651,0.0214228790324404,0.0452964333692205,0.266773412808231
"AAK1",0.0555053064998877,0.052630093261343,0.108003737524204,0.0414124504215086,0.00314705861535679,0.0706729579658377,0.363672928598364
"AAMP",0.0485889807202823,0.221394330735405,0.155131867409813,0.0250194723662065,0.0308602887291813,0.0399003112737259,0.310886008832325
"AANAT",0.00749115254860696,0.0654786454037958,0.111518753402936,0.0402301080666182,0.00395704383577884,NA,0.335840463427286
"AARS",0.0125596828776771,0.171953938343723,0.219514882806083,0.0224750174683338,0.0371290476012028,0.0297221481097935,0.199611623406167
"AARS2",0.0270183633974699,0.151326296847973,0.16570957284162,0.0368677355230715,0.0346288985936386,0.0398188847432177,0.199256436484137
"AARSD1",0.0349567478301347,0.268498754254666,0.18559960969707,0.0322047928762534,0.0437281411043022,0.0390250747220579,0.233695107917763
"AASDH",0.0472359781566367,0.126139675681439,0.230619739159306,0.0336308687795656,0.00633240478414462,0.0266245439657118,0.256527572600209
"AASDHPPT",0.0389412279705415,0.260804449240328,0.195247775048152,0.0213669795886184,0.00868759642580656,0.039247812355644,0.36511438158532
"AASS",0.0771513076531525,0.162718522509021,0.363155785640228,0.0352618619342388,0.00330987936133555,0.0554422109039759,0.419494210380728
"AATF",0.0521808418091665,0.165363071600883,0.177049154777414,0.0403470970057106,0.0479153951927607,0.0367156498870279,0.394328935570164
"AATK",0.0475751295556509,0.0739399173732945,0.180531811521953,0.0294287851014446,0.00202686839754332,0.0287253470217133,0.267651068680448
"ABAT",0.0252170187663264,0.0609622054374683,0.113014046058756,0.036234036027377,0.00403483686217704,NA,0.36876070752197
"ABCA1",0.0352499190521603,0.497974612594158,0.345984661978472,0.0327831625824077,0.0793446511843685,0.0773737220464711,0.397305101533939
"ABCA10",0.0956906806688412,0.101399487544568,0.251246885149731,0.0364351589121346,0.00295316101587851,0.0275875855817199,0.312855897736455
"ABCA11",0.0846472273801762,0.0869465688852705,0.194693249491931,0.0432820811735665,0.0044618172560782,0.0290197625752292,0.421750228501675
"ABCA12",0.0137656475817687,0.0449046554827503,0.0840247904629239,0.0226307786730501,0.00165334831606873,NA,0.216158992961044
"ABCA13",0.0162074338027425,0.0678204490876721,0.135698479150456,0.0343981092707506,0.00298760479655275,NA,0.493169457090716
"ABCA2",0.0753734576237517,0.137443692745676,0.250839949887613,0.0375752846643253,0.00587363806606537,0.0457814435622855,0.232741896311162
"ABCA3",0.0564590985036493,0.252081857260982,0.3528453460893,0.0419673959531696,0.0147380785947879,0.0493824519626018,0.229036325856573
"ABCA4",0.0767926892733192,0.074582979274212,0.134134666943397,0.0289788065125437,0.00797102877905067,NA,0.219030003409252
"ABCA5",0.232567138512731,0.143925428036463,0.276525091615429,0.0496534369867593,0.00189341552536968,0.0514431216994769,0.605835434124776
