"","GSE73108","GSE72158","GSE65221","GSE58559","GSE42809","GSE119717","GSE115645"
"ABCB6",0.026214418318899,0.184451607008801,0.204821340223838,0.0223877179330809,0.0171069848901906,0.0348020764135371,0.229389888519193
"ABCB7",0.0373416776664506,0.215521092311094,0.194723216145991,0.0230921853084863,0.0169460700408497,0.0323386425183867,0.238195992592287
"ABCB8",0.0326298439951308,0.0701993908964868,0.121932874317208,0.0254010446281582,0.00521961336501664,NA,0.252641198508076
"ABCB9",0.0686683270537348,0.0856433635812921,0.177115488849408,0.0237017744557318,0.0205770181489989,0.0267999654728558,0.26212722859219
"ABCC1",0.033030117175488,0.0577016618061258,0.12588096043693,0.0212278903695141,0.00234263614469089,NA,0.277420876490579
"ABCC10",0.0385100339526591,0.0587956466243975,0.115821229843937,0.0321488040325499,0.0127663080984574,0.0218354924200648,0.206184001714149
"ABCC11",0.0267503152244337,0.0542801800331856,0.0730269882762685,0.0257068373769276,0.0022693965609342,NA,0.163019941666228
"ABCC12",0.012104458039636,0.041582466769439,0.080252394766739,0.023170133879483,0.00230890535793785,NA,0.188686892220864
"ABCC13",0.0363363008138034,0.0429312249286363,0.0676437021999305,0.0210135042158333,0.00257079057059773,NA,0.174119621182308
"ABCC2",0.123395477539049,0.132526144033148,0.311524180720147,0.0341350217004077,0.00842746728121442,0.0358176213417015,0.294142671899285
"ABCC3",0.0651467377010853,0.473758314391744,0.706850159582255,0.0396518256519997,0.0347983672705092,0.119575608829498,0.362639958048635
"ABCC4",0.0835882956633891,0.0859590878790888,0.167571487741193,0.0264608289324616,0.0208970916217167,0.024853788890011,0.230573103904756
"ABCC5",0.0383934842371342,0.171866802725468,0.19416598216052,0.0417196378613507,0.00709575028790582,0.0282495369136653,0.349068106885129
"ABCC6",0.0607385435261604,0.0672230577641,0.152914797534444,0.0202366595336917,0.00180005123128384,0.0247696473341955,0.23558382099814
"ABCC6P1",0.0778141680053218,0.0602659202017819,0.127615675513674,0.0225281777664226,0.00403358711510886,NA,0.195137259685048
"ABCC6P2",0.0712080272335543,0.177935593736915,0.235364772260262,0.0292604033474534,0.0038288103511613,0.0220648922864652,0.226426102920352
"ABCC8",0.0202599389884098,0.0607778376775277,0.172536363175824,0.0277255748560776,0.00288306348548158,0.0498602647356593,0.262212932579522
"ABCC9",0.0469820993066238,0.13541757259204,0.182938069186451,0.02253140942539,0.00162101279376932,0.0232094387768422,0.188158312050978
"ABCD1",0.0974134911824713,0.189054323001294,0.222186790060791,0.0437852899601337,0.00547665132361545,0.0319920496135963,0.547846998580015
"ABCD2",0.0317430878978002,0.0628273301463936,0.208096075758697,0.0385235900289363,0.00194898992250287,NA,0.196081268337478
"ABCD3",0.0407046316287475,0.112320057806361,0.144430602425947,0.0195894959088634,0.00618211980104365,0.0259326127921379,0.23707935225263
"ABCD4",0.0254812221303223,0.0329000987552486,0.0779472636130329,0.0156563928091677,0.00184778819212149,NA,0.120579595653472
"ABCE1",0.0271553036320952,0.15273566946566,0.179593272931824,0.0360597433955538,0.0356011564062296,0.021085927288595,0.242601530721804
"ABCF1",0.0242746252273178,0.146163995992114,0.131972171446617,0.017186556133691,0.0504877974755611,0.024872705069324,0.153011154068246
"ABCF2",0.0556686440189893,0.0956123114174297,0.133116397880134,0.0285219060938893,0.00941166954167637,0.0201127264909959,0.212738710342792
"ABCF3",0.0614074535391779,0.127770058446137,0.11261328272866,0.0346399697169038,0.0158111461487126,0.020890355792801,0.299491017336492
"ABCG1",0.0372117661144252,0.0452113216227694,0.11241004622594,0.0160793049883948,0.00192337835945056,0.0347610136950641,0.117478184189235
"ABCG2",0.0419350957060189,0.067188495238483,0.115488047336107,0.0271768567073326,0.00338050510678485,NA,0.277027798114434
"ABCG4",0.0451829863697142,0.0546462499712827,0.11170859068991,0.0222769573547135,0.00252455107326436,NA,0.164373129589899
"ABCG5",0.0335638497607379,0.0560191198937632,0.0795893626430535,0.0250631414017344,0.00196332722603112,NA,0.247031330468565
"ABCG8",0.047308150436944,0.0543417159665099,0.109376968804979,0.0253958612094356,0.00388695536350058,NA,0.244943209211938
