"","GSE33684","GSE113808","GSE104128","GSE97910","GSE70857","GSE62324","GSE57659","GSE39313"
"0610009O03Rik",0.109798344176971,0.216995604942367,0.0413948794126373,0.213218759848955,0.0260976840917409,0.170500820804698,0.030833083489784,0.0190743609604957
"0610009O20Rik",0.0844870962814932,0.217889349256641,0.171477027520989,0.213330421339354,0.0251247194546681,0.192197690882526,0.0385094190650158,0.0162790697674419
"0610010D20Rik",0.0969440608481279,0.177573529411765,0.123844811762828,0.0240654286165079,0.0082844430720863,0.101025817798898,0.0485570495084418,0.00100428494911631
"0610010D24Rik",0.0616741018048049,0.331291390728477,0.0473832858656122,0.0234919855334113,0.00801779024738993,0.189033616177174,0.072879279282796,0.00100267379679139
"0610010E21Rik",0.0489358841168416,0.299824893325819,0.184050229235846,0.449262517062414,0.0862940412385813,0.131065448340895,0.0392647434959229,0.0388795986622074
"0610010K06Rik",0.0765241325197408,0.236203160846291,0.189120965829516,0.116373721400145,0.0262001674775549,0.0587255950864841,0.0288378798120499,0.056042128603104
"0610010K14Rik",0.0773631158253485,0.310721544715447,0.204381653881163,0.0700931976400422,0.0144909471560743,0.0580092307954107,0.0420751787707488,0.00781249999999997
"0610011B16Rik",0.0837479260155137,0.0845623215984775,0.0704705594469293,0.0344098534075004,0.00627426393231295,0.115865378775237,0.0509968684552147,0.00180674518201277
"0610011L14Rik",0.0868791546325586,0.15270618556701,0.0354237766867501,0.0182594016842473,0.00445812680594445,0.112495530855013,0.0552210249848931,0.00100482315112534
"0610011N22Rik",0.0433731558676962,0.209049665711557,0.0691493601768899,0.0795227484101347,0.0138777121025528,0.119557084351914,0.038930215078172,0.0114637305699483
"0610012A05Rik",0.0613544592539047,0.162924757281553,0.0202380207633109,0.0171855030203824,0.00436318563536418,0.0920389729741991,NA,0.000201396348012849
"0610012A11Rik",0.117388500424011,0.204113924050633,0.0552758614214186,0.0186920895873547,0.0106973215538428,0.244582868820588,0.0832327163458653,0.000804289544235908
"0610012C01Rik",0.161064892079444,0.0785614525139665,0.103153080250798,0.0333844553191059,0.007888187600715,0.168749277154463,0.0657898156800045,0.00100482315112534
"0610012D14Rik",0.0656714568304768,0.260626992561105,0.0400682794366006,0.0199932801120484,0.00598091169084436,0.366397636703803,0.0524646001214948,0.0013080225382346
"0610012D17Rik",0.127294117170144,0.550806109461179,0.29002566406574,0.2506289898748,0.0246583722676053,0.0776988520491212,0.0385355963396494,0.0340909090909091
"0610012G03Rik",0.0947489624084554,0.167085516069659,0.231360871516217,0.560150231218355,0.105581468326986,0.093774848605602,0.027750336898683,0.0493251928020566
"0610012H03Rik",0.0397463511999593,0.192239635995955,0.043318649173136,0.0183469875687487,0.00683481372938757,0.125979999888828,0.0641066687773333,0.000803858520900447
"0610012K18Rik",0.0984524592398789,0.299592391304348,0.0304760249588808,0.0279623853677551,0.00577555866529941,0.302712994554702,NA,0.00160857908847182
"0610013E23Rik",0.100404443462543,0.221120689655172,0.087098179420095,0.030155607448251,0.00720015486013961,0.164814795888079,0.0768143566681028,0.00160771704180061
"0610025L06Rik",0.0748862715314222,0.31656346749226,0.0609384300153913,0.0453783440764543,0.00646511272819364,0.160384563000538,0.0734412759983388,0.00080299785867236
"0610025O11Rik",0.114872281903019,0.206670822942643,0.0432559268864933,0.0161092809805443,0.00486601317301908,0.106900188138342,NA,0.000804721030042901
"0610025P10Rik",0.0729737441826775,0.367883663366337,0.0718054662583293,0.0654260410072179,0.0192972810130788,0.146364579178633,0.0390708381535206,0.00279255319148923
"0610027B03Rik",0.102639038743462,0.139676113360324,0.0414136023638077,0.0133484848885326,0.00527208178513998,0.157664195047433,0.0621750587401876,0.000803427959292966
"0610027O18Rik",0.0905787812564891,0.349876055205681,0.0969408885714582,0.193482756716256,0.0174241054711206,0.105659332593091,0.0279861029888183,0.0117840851495186
"0610030H11Rik",0.121595230037552,0.256365372374284,0.151186352479507,0.0392763642847726,0.00517377703226787,0.0955273556780654,0.0432701767849611,0.00160256410256407
