"","GSE65221","GSE119717","GSE115645"
"ACP2",0.20525647890648,0.0395361658059484,0.204892867742446
"ACP5",0.646257824390339,0.0916974297241341,0.457497960290536
"ACP6",0.245489018137854,0.02638447277381,0.341660854096859
"ACPL2",0.120412431230588,0.0252505796815406,0.137829616447251
"ACPP",0.0880642807033762,NA,0.174767628461678
"ACPT",0.087624976691132,NA,0.147824271306026
"ACR",0.071128734581358,NA,0.208825202316179
"ACRBP",0.103405979500199,NA,0.216092067557635
"ACRC",0.122849114053228,0.0140312041647875,0.226058316873082
"ACRV1",0.0683510298865994,NA,0.266845040980765
"ACSBG1",0.0889639009135549,NA,0.294074536826016
"ACSBG2",0.0754282776269566,NA,0.187770418009071
"ACSF2",0.234350482674007,0.041097135042351,0.230193273286362
"ACSF3",0.0807486604330568,NA,0.269379073993413
"ACSL1",0.319967025296465,0.0990851534860751,0.287764995196547
"ACSL3",0.216217929498222,0.0253906014248044,0.189244652945021
"ACSL4",0.0724416770682917,0.0388292831068002,0.116074770850742
"ACSL5",0.0783885139472271,0.0235430257450522,0.110855278003096
"ACSL6",0.0318876807499758,NA,0.137145472922695
"ACSM1",0.0701473695272034,NA,0.344921631471226
"ACSM2A",0.0932048441516281,NA,0.182098306105652
"ACSM2B",0.0651282942215121,NA,0.131978877851547
"ACSM3",0.0611290563443228,NA,0.20936365358919
"ACSM4",0.0767901694790862,NA,0.155886662459348
"ACSM5",0.209874082894216,0.0752236185833699,0.139020335489222
"ACSS1",0.170124576037478,0.0461988262357713,0.531224383496506
"ACSS2",0.351063218518072,0.0764042067850181,0.340100431308556
"ACSS3",0.253071087124179,0.0287957317528553,0.177102914857136
"ACTA1",0.152443959732129,NA,7.85701812119384
"ACTA2",0.3720521788779,0.0482058131868046,0.312770664489784
"ACTB",0.192279380860943,0.0240325166387296,0.178220692262663
"ACTBL2",0.0830140855649884,NA,0.226265891839206
"ACTC1",0.0978524726237891,0.058734392914422,0.0945354963467794
