"","GSE32512","GSE27666"
"ABCC4",0.113017519264423,0.389043457609061
"ABCC5",0.0520658835901144,0.314752755162402
"ABCC6",0.0993383518434005,0.308626900632395
"ABCC8",0.0535996534803882,0.348355264868563
"ABCC9",0.0822293506635823,0.284109612951397
"ABCD1",0.0811792736283141,0.356402249491835
"ABCD2",0.0739983253730526,0.335474224504969
"ABCD3",0.042949298880773,0.205313467010643
"ABCD4",0.053301688713658,0.241049183583024
"ABCE1",0.0264236350193409,0.153982832289237
"ABCF1",0.0286546791508103,0.13542508270682
"ABCF2",0.0993657210407256,0.330443343928095
"ABCF3",0.0654585798499405,0.242335037591048
"ABCG1",0.057452578972075,0.204052011396658
"ABCG2",0.062123122603269,0.373462984113812
"ABCG4",0.137718962937416,0.429955189361386
"ABCG5",0.106013155705311,0.318742142646968
"ABCG8",0.0404262949073679,0.360085951832164
"ABHD1",0.0894358190233957,0.344208296190759
"ABHD10",0.0650511365451918,0.318109994906666
"ABHD11",0.0924972837275528,0.284767002628693
"ABHD12",0.0662439539380809,0.320085137420647
"ABHD12B",0.0420643059293792,0.249502674703294
"ABHD13",0.0460773541154209,0.295063017924596
"ABHD14A",0.0392714672306669,0.24694636302319
"ABHD14B",0.0427030518167013,0.265810884969095
"ABHD2",0.0925652385423306,0.283058749671286
"ABHD3",0.044972169784073,0.258372451862541
"ABHD4",0.0546649623878787,0.265004463579892
"ABHD5",0.0678414902366566,0.401921589115508
"ABHD6",0.0439401981631972,0.235819998871631
"ABHD7",0.113124598138035,0.355652956500268
"ABHD8",0.0366150279526509,0.192634913140998
"ABHD9",0.0798378778646707,0.285775315582917
"ABI1",0.0347850698721095,0.222420955648259
"ABI2",0.0581595695971885,0.190243322661471
"ABI3",0.0903869769151443,0.28393129224808
"ABI3BP",0.0440277098256182,0.333696636220256
"ABL1",0.07762126776051,0.281046984292843
"ABL2",0.0590436233728929,0.292788343342993
"ABLIM1",0.0629703809697618,0.305543945897232
"ABLIM2",0.0818336123227637,0.288268738273622
"ABLIM3",0.0592169277898278,0.358105491593452
"ABO",0.0556402292477769,0.424400925012268
"ABP1",0.0818414460696693,0.380653024815144
"ABR",0.0521359035710211,0.2129931990621
"ABRA",0.0424436749236922,0.334087791247451
"ABT1",0.122646293109506,0.399712085978875
"ABTB1",0.0386562981875959,0.276310163398
"ABTB2",0.0894426140523576,0.410296322927483
