"","GSE32512","GSE27666"
"ACTL8",0.0591342942211193,0.231859070174011
"ACTN1",0.0238342077504988,0.200204330051376
"ACTN2",0.0697653005054373,0.218937012345469
"ACTN3",0.0392561805882058,0.208054052339678
"ACTN4",0.021898343856465,0.157211428512002
"ACTR10",0.0180588940596368,0.123824317944044
"ACTR1A",0.0193370904980138,0.127306799488432
"ACTR1B",0.0164757895910866,0.111130672692601
"ACTR2",0.0170374147132575,0.15265612397134
"ACTR3",0.0658063590783111,0.387308306772918
"ACTR3B",0.0253964864056442,0.131635483814871
"ACTR5",0.03108265145185,0.139596234864234
"ACTR6",0.0262241556918342,0.162849631147574
"ACTR8",0.0664310065464371,0.209240111769494
"ACTRT1",0.0579688998260235,0.236475948468518
"ACVR1",0.0329660344282326,0.237251100004706
"ACVR1B",0.0420138284974772,0.176054438781264
"ACVR1C",0.0997347055168544,0.357294789685367
"ACVR2A",0.035930785036038,0.160768119584395
"ACVR2B",0.0332722611038172,0.25922707008161
"ACVRL1",0.0331800778101551,0.19577254159659
"ACY1",0.0400339958940826,0.258514634713344
"ACY3",0.0382510533730856,0.331762150895603
"ACYP1",0.0568412918955721,0.175009006988788
"ACYP2",0.0306576412544343,0.175248081324657
"ADA",0.0269015929747577,0.178466014486659
"ADAD1",0.0296389581479003,0.314101878574358
"ADAD2",0.0532552689598287,0.277833751605654
"ADAL",0.0454853691495087,0.179824742310185
"ADAM10",0.0367185296038832,0.191318481685023
"ADAM11",0.0382602804912425,0.257863542157231
"ADAM12",0.0427277781322561,0.180701603611408
"ADAM15",0.0251994674525747,0.151704945438764
"ADAM17",0.0376714185801668,0.149384816994098
"ADAM18",0.024301045606509,0.295163062734573
"ADAM19",0.068751426871306,0.249662344357273
"ADAM2",0.042748428442358,0.216488419930614
"ADAM20",0.0301082728129366,0.310859551084148
"ADAM21",0.048770973558785,0.217437940596358
"ADAM22",0.0521731074088157,0.239151378450498
"ADAM23",0.0387826490435762,0.296462247753399
"ADAM28",0.0336149220597361,0.18994333794964
"ADAM29",0.0471474027837129,0.249694217768505
"ADAM30",0.0308957998373288,0.248955105933342
"ADAM32",0.0393038950308362,0.178403056426631
"ADAM33",0.0418563702596018,0.132544350495138
"ADAM3A",0.0183813075702111,0.195961356522125
"ADAM5",0.0181341497814051,0.212959756555914
"ADAM5P",0.0373951990838862,0.290776950422603
"ADAM6",0.0425006006125909,0.184746443021385
"ADAM7",0.0524301810947293,0.162231136106249
"ADAM8",0.207761449790096,0.732355881812354
"ADAM9",0.0491897289714296,0.202830267593762
"ADAMDEC1",0.0335306219481481,0.202647483590838
"ADAMTS1",0.0455796924889414,0.23392143560503
"ADAMTS10",0.0488014154427192,0.230140877510305
"ADAMTS12",0.0381555942223211,0.288218390023603
"ADAMTS13",0.0710757222311286,0.234859341688871
