"","GSE33070","GSE73655","GSE41223","GSE54280"
"ACOT4",0.022352744019235,0.0245842945511708,0.0853913591565436,0.014397459222598
"ACOT6",0.0432294550389059,0.0274693748717094,0.126412429378531,0.00646704525420367
"ACOT7",0.0181356220199729,0.015413754352633,0.0878374331123712,0.00914380391495497
"ACOT8",0.0227225590574519,0.0128570778439866,0.136056170886076,0.00459579893334377
"ACOT9",0.0236306001162961,0.029280045285445,0.145538613172542,0.0107889131999748
"ACOX1",0.018221425278203,0.0371832042164677,0.180238473508384,0.0148155218685526
"ACOX2",0.0254185859439438,0.0332890588244468,0.0734348987572109,0.00971389505512935
"ACOX3",0.00915948234776657,0.0242916753996534,0.164043184440415,0.00361063087769475
"ACOXL",0.0192757387559543,0.039221872873019,0.276005888125613,0.015174651451267
"ACP1",0.0161762986478394,0.0366036905323627,0.0791080402010051,0.0116567555717726
"ACP2",0.0196730123710524,0.0223027647560985,0.247561833903077,0.0113258389808063
"ACP5",0.0417085490041013,0.0257284234920542,0.0857863332611778,0.0246522010843558
"ACP6",0.0315315864644676,0.0394320726713754,0.160157860028027,0.0170330741190239
"ACPP",0.0195722501182695,0.048205591950734,0.0838798757335174,0.0326436746331393
"ACPT",0.0282959790192489,0.016058672023067,0.126160952475052,0.00688970357307576
"ACR",0.0185351668184247,0.0456967304394308,0.203231962197856,0.0108275513928428
"ACRBP",0.0328353765520125,0.0184665573541414,0.107233502538071,0.00902956797491331
"ACRC",0.0303769827813221,0.0315458895501632,0.14934829833454,0.0556651608464889
"ACRV1",0.0106913657264707,0.0164452766296166,0.217822468793343,0.00857610037873908
"ACSBG1",0.024798610829224,0.0380344720662652,0.114700902934537,0.00661596003017727
"ACSBG2",0.0248983233374295,0.0190880955294992,0.171278625954198,0.0141881688032689
"ACSF2",0.034624338594886,0.088336104353428,0.0621799374603462,0.0257719051952669
"ACSF3",0.017799177828651,0.00980382047913752,0.0766463800745796,0.00609484919934521
"ACSL1",0.0257288110342931,0.0552127376585558,0.0455651380152927,0.0207478968398803
