"","GSE118876","GSE104955","GSE87661","GSE79711","GSE60150"
"1500035N22Rik",0.0262423935091277,0.0111524353529219,0.0540876639721628,0.00703956649221719,0.0181458751327747
"1520402A15Rik",0.0269833948339483,0.0280800059405837,0.0605707679997538,0.0440451628884764,0.02061432325887
"1600002D24Rik",0.0603632478632478,0.0368392678693525,0.234250960617999,0.0603606500971946,0.0303648399014778
"1600002H07Rik",0.0385596546310833,0.0175700670138377,0.0232777774707205,0.0201668812255433,0.0138274932614556
"1600002K03Rik",0.0300151975683892,0.0269737436731744,0.0409319250797252,0.0247424130725912,0.017729158807997
"1600010M07Rik",0.0297049441786284,0.0345669571332638,0.0537850767076923,0.0236897377272303,0.0244598871611394
"1600012F09Rik",0.0686138613861386,0.0218460168728339,0.0331971580641949,0.0133090197456006,0.0158981471788966
"1600012H06Rik",0.024896265560166,0.0102702230879488,0.0295696669519766,0.0213444471927848,0.011619840443982
"1600012P17Rik",0.0329497907949791,0.0254825974517404,0.0554135364496384,0.0258231282915435,0.0207382828701783
"1600014C10Rik",0.12066974595843,0.0128225891282068,0.0260443589315838,0.0370209213859307,0.011072319201995
"1600014C23Rik",0.0324928977272727,0.037183961136475,0.0379153615879271,0.0282906335964463,0.0320955273329652
"1600014K23Rik",0.0285129932627526,0.0313532074042328,0.0466743021634795,0.012823577021584,0.0185672139558748
"1600015I10Rik",0.0234374999999999,0.0300201888934889,0.041827125632304,0.0322179425835045,0.0229900510890024
"1600016N20Rik",0.0183026030368763,0.0201658825732532,0.0835039499107069,0.0324596926686918,0.0173047177107502
"1600017P15Rik",0.0459257473481196,0.0543095078940666,0.0477846115470761,0.0411661389012875,0.0356740782437377
"1600019K03Rik",0.0617541766109785,0.0160304122205373,0.166239684260226,0.0421769222005317,0.016143977191732
"1600020E01Rik",0.0230547550432277,0.0254917585024421,0.0331649280530704,0.0612654862085087,0.0224675468767336
"1600021P15Rik",0.0446947674418606,0.0260361539463614,0.0624439892459352,0.0221513320155237,0.0162861397195683
"1600025M17Rik",0.0317431850789095,0.0195869934573788,0.0299854774978759,0.0243708170962017,0.0215113687026305
"1600027N09Rik",0.0230320069204153,0.0290547884152253,0.0361142468518339,0.0173580564390606,0.0113207547169813
"1600029D21Rik",0.0360725308641976,0.0410394718525557,0.113032205534392,0.0366043983902146,0.019650655021834
"1600029I14Rik",0.0358416547788872,0.0154704375042995,0.0691034762847428,0.0336015916969113,0.0328147788040837
"1600029O15Rik",0.04,0.022423448004335,0.0290972435317958,0.0345341177251942,0.0198101937881603
"1700001C02Rik",0.048011639185257,0.0262672266915433,0.0802734129082622,0.0122190421675253,0.0239992470824444
"1700001C19Rik",0.0276679841897233,0.0353922186582819,0.0476361683830281,0.0483100532751007,0.0236694878783532
"1700001D01Rik",0.0545727636849132,0.0369440624115033,0.0452945340474156,0.0524552522174732,0.034353595890411
"1700001G01Rik",0.0275934861278647,0.0332912259094922,0.0753734557604305,0.0305027077026909,0.021384479717813
"1700001G11Rik",0.034206081081081,0.0200362162029396,0.0944283199784421,0.0289887862522364,0.0283114598836423
"1700001G17Rik",0.028894472361809,0.0193419000054417,0.0110243279113597,0.00944900179470491,0.017197789275635
"1700001J03Rik",0.0374999999999999,0.0496457126907462,0.118720625537976,0.111046665217966,0.0532656145063801
"1700001J11Rik",0.0544999999999999,0.0808482568619017,0.181644813269812,0.0378712327916618,0.0704279164544065
"1700001K19Rik",0.071608040201005,0.0177341171670561,0.0301442791716842,0.0351262687031978,0.0246058798466127
"1700001K23Rik",0.0311186974789916,0.02159815964014,0.0469199139415814,0.0282617790058784,0.0256753142551485
"1700001L05Rik",0.0291353383458645,0.0555501642194519,0.0640162173349562,0.0149166381062314,0.020257883158152
"1700001L19Rik",0.0269021739130435,0.0252059382854085,0.0184542010393892,0.0245155631914329,0.0320485965647256
"1700001O22Rik",0.0708575581395347,0.0347390552941367,0.0649907339353437,0.0333759729269403,0.020096463022508
"1700001P01Rik",0.0512273212379934,0.0271221929452353,0.125551380921173,0.0242119206687953,0.016924778761062
"1700003C15Rik",0.0383522727272727,0.025989313603556,0.0450483319566942,0.0419394095682861,0.0294139247943596
"1700003D09Rik",0.0345528455284552,0.0293688725676699,0.0294867822342039,0.017877944176946,0.0364052363299352
"1700003E16Rik",0.0473090277777778,0.0393521411894952,0.080771600513057,0.0672249663676067,0.0380240856378234
"1700003E24Rik",0.0362173038229376,0.0182941286976107,0.0540322329411519,0.0212437711363855,0.0220725388601036
"1700003F12Rik",0.0280688622754492,0.0223475256323917,0.0375265035380713,0.0138436602303144,0.0162131641213163
"1700003F17Rik",0.034263959390863,0.0260026191417481,0.0299027553724535,0.0275147823783748,0.0256016699410609
"1700003G13Rik",0.0357773851590104,0.0215389258404902,0.0776031707361917,0.0332608491108485,0.0226714894716445
"1700003G18Rik",0.0567602040816327,0.0204974784612218,0.0812209755406951,0.0319000701937119,0.0439349792976537
"1700003H04Rik",0.0229299363057324,0.0445038692253294,0.11194010007148,0.0431929185231992,0.0317040951122854
"1700003L19Rik",0.0299625468164793,0.0298742036679775,0.0565953305200768,0.0132464729422175,0.0262254510617915
"1700003M02Rik",0.053702570379437,0.00909957819818996,0.0838264611324039,0.0254999659448348,0.0201871840415357
"1700003M07Rik",0.0609504132231406,0.0394367226165094,0.0520946562479613,0.0284505514609796,0.0243537501591748
"1700003P14Rik",0.0357852882703778,0.0419312639391004,0.0732857091863142,0.0729754941826064,0.0321146245059288
"1700006A11Rik",0.026590909090909,0.0286024547287594,0.104812637167997,0.0429076198279393,0.0407117008443909
"1700006E09Rik",0.035389072847682,0.034242675392332,0.0930353356723598,0.0757138884224666,0.0346277738010021
"1700006F04Rik",0.0912726008344924,0.0247202778850277,0.0544196221531661,0.0389742036572891,0.0363295053003534
"1700006H21Rik",0.0189732142857143,0.0321728245393511,0.103531245790712,0.0768045394219561,0.0179456503161852
"1700006J14Rik",0.0489583333333333,0.0593862300543758,0.0405693612567265,0.0420403517019202,0.0273559466363894
"1700007B14Rik",0.0534180386542592,0.0266682262712013,0.196596628998405,0.036002700157024,0.0245930783817951
"1700007F19Rik",0.0143568147013783,0.0378982133500482,0.141179872189457,0.0310422482692978,0.0211329615497505
"1700007G11Rik",0.0285050675675675,0.030276537991048,0.033588103435956,0.0771232618763203,0.0433402804092459
"1700007I08Rik",0.0185758513931887,0.0289509893542059,0.0216558850204989,0.0201362659360624,0.0294612794612794
