"","GSE33684","GSE113808","GSE104128","GSE97910","GSE70857","GSE62324","GSE57659","GSE39313"
"0710007A14Rik",0.131340295170676,0.247149140184958,0.18138752605454,0.133359503222943,0.0295330792378658,0.134885399772643,0.0331340246664403,0.0538352339556378
"0710008K08Rik",0.14125213107349,0.18408880687933,0.174790660487337,0.198916550082203,0.0509784538169419,0.117043813695574,0.0390268173283991,0.0721499557014389
"0910001A06Rik",0.16092177877881,0.392055049652459,0.116748913815546,0.056992867787468,0.0116034157112777,0.286721487011202,0.0568627916783825,0.00117608494382041
"0910001K20Rik",0.114485478079341,0.15111956475,0.0414223235065204,0.0273727429162461,0.0101041405567139,0.411288858158849,0.0864425183301887,0.00235847935622313
"0910001L09Rik",0.133050968733413,0.113289560539428,0.292812447275638,0.222542412946958,0.0179592499683497,0.0462021854013181,0.030435014143267,0.039511018063096
"1010001D01Rik",0.159430900516154,0.164379858573913,0.090138706134004,0.0345998739114658,0.00595413522873768,0.0730899178934302,NA,0.00117923967811156
"1100001A21Rik",0.144020498926084,0.20790598187643,0.174033175678369,0.155963642767309,0.0692012563227876,0.312064037705088,0.0619419477855866,0.011667212101911
"1100001D10Rik",0.18173681186857,0.31073347928417,0.171316705484837,0.237224619503497,0.0219741218672145,0.0882795155038988,0.0593339654521679,0.0548702636045929
"1100001E04Rik",0.104594993632037,0.347068856842105,0.030210490438509,0.0304719846939548,0.00817643113253876,0.303784979670745,0.111361806901861,0.00117797575562698
"1100001G20Rik",0.069985299484445,0.441045141282186,0.831599095827522,0.12399683541475,0.0418214442382761,0.283677407408383,0.214573107557424,0.0700680571311057
"1100001H23Rik",0.0829329441948679,0.278339639431953,0.13967178477271,0.0272101972311654,0.00901198477619403,0.238256895390059,0.0906907558506986,0.00235342907922907
"1100001I19Rik",0.0884856282211934,0.384538071489362,0.0633702577034281,0.0216205162037116,0.00959489695927093,0.213430775059722,0.103609987601285,0.0011811406555615
"1100001I22Rik",0.150215348810427,0.236374672426049,0.127107676372049,0.788590186364614,0.073195030303831,0.248279906922485,0.0569374518051058,0.0294651844504021
