"","Gene","metaRanking","RP"
"549","LOC100048303",549,873.9
"550","C530043J03Rik",550,875.5
"551","LOC381610",551,876.6
"552","LOC195356",552,878.1
"553","EG209324",553,880.5
"554","LOC385060",554,881.7
"555","LOC207731",555,882.9
"556","LOC544917",556,884.1
"557","LOC100040899",557,885.5
"558","LOC217236",558,887
"559","LOC232585",559,888.8
"560","1700030G11Rik",560,890
"561","LOC380910",561,891.5
"562","LOC225924",562,892.6
"563","9430095B17Rik",563,894.1
"564","LOC382670",564,895.2
"565","Rpl23a",565,895.3
"566","Gm7091",566,896.7
"567","LOC384287",567,898.1
"568","LOC239434",568,899.6
"569","LOC385611",569,900.7
"570","LOC269980",570,902.2
"571","A930026F04Rik",571,903.6
"572","LOC381423",572,905
"573","B130052F17Rik",573,906.7
"574","A530020O12Rik",574,907.8
"575","9630015E22Rik",575,908.9
"576","2410116I05Rik",576,910.4
"577","LOC383751",577,912.4
"578","LOC380908",578,913.9
"579","LOC545339",579,915.4
"580","LOC386238",580,916.6
"581","D930015A08Rik",581,918.6
"582","LOC380816",582,919.8
"583","LOC213544",583,921.1
"584","22164589_5684_rc",584,922.9
"585","A330042I05Rik",585,924.2
"586","LOC383602",586,925.4
"587","5730531E12Rik",587,926.5
"588","4930523C11Rik",588,927.6
"589","LOC384611",589,928.7
"590","D330017D17Rik",590,930
"591","LOC100040885",591,931.3
"592","BC038167",592,932.7
"593","LOC627424",593,934
"594","9.13E+10",594,935.9
"595","D430019N05Rik",595,937
"596","Fin15",596,938.1
"597","LOC232364",597,940.1
"598","EG114600",598,941.8
"599","Mir449b",599,942.9
"600","LOC236442",600,944.2
"601","LOC100047300",601,945.3
"602","3830408P06Rik",602,946.5
"603","LOC672663",603,948
"604","Gm444",604,949.4
"605","LOC102637749",605,950.6
"606","LOC384340",606,951.7
"607","C130090K21Rik",607,952.9
"608","E530015N03Rik",608,955.9
"609","9330129P17Rik",609,957.2
"610","LOC224402",610,958.4
"611","C230077B03Rik",611,959.5
"612","LOC194360",612,960.6
"613","LOC386137",613,961.7
"614","LOC632805",614,962.8
"615","G630014P10Rik",615,963.9
"616","4921519A02Rik",616,965
"617","1300003O07Rik",617,966.2
"618","Pit1-rs1",618,967.3
"619","2700078E11Rik",619,968
"620","1700012C15Rik",620,969.1
"621","LOC638794",621,970.7
"622","4933430B08Rik",622,972
"623","Ralgapa1",623,972.2
"624","LOC381985",624,973.1
"625","9330128J19Rik",625,974.3
"626","LOC382765",626,976.2
"627","LOC666303",627,977.4
"628","2410170E21Rik",628,978.7
"629","scl000994.1_0",629,979.8
"630","LOC238074",630,981
"631","1700001E18Rik",631,982.7
"632","LOC100047902",632,983.8
"633","LOC100040981",633,985.1
"634","LOC384681",634,986.2
"635","F730011O15Rik",635,987.4
"636","LOC383437",636,989.4
"637","A130094L10Rik",637,991
"638","5330429D05Rik",638,992.1
"639","A830016G09Rik",639,993.3
"640","LOC385180",640,994.6
"641","BAI3",641,995.7
"642","6030408K21Rik",642,996.9
"643","LOC381372",643,998.4
"644","D530033B14Rik",644,999.7
"645","A530029A01Rik",645,1002
"646","LOC381773",646,1003
"647","C430047I10Rik",647,1004
"648","B230345N14Rik",648,1006
"649","Tra2b",649,1006
"650","A730014G01Rik",650,1007
"651","2010013E09Rik",651,1008
"652","LOC620635",652,1009
"653","B130038J23Rik",653,1011
"654","LOC544718",654,1012
"655","Krtap16-10",655,1014
"656","MJ-8000-190_4699",656,1015
"657","LOC100046382",657,1016
"658","LOC384614",658,1018
"659","7330438C15Rik",659,1019
"660","Zfp518",660,1020
"661","9930022F21Rik",661,1022
"662","LOC216223",662,1023
"663","LOC384830",663,1024
"664","LOC667277",664,1025
"665","EG381806",665,1026
"666","2410164B09Rik",666,1027
"667","LOC218438",667,1029
"668","LOC667084",668,1031
"669","OTTMUSG00000008594",669,1032
"670","LOC383109",670,1033
"671","Pmscl1",671,1035
"672","LOC625175",672,1036
"673","A730067A14Rik",673,1037
"674","scl0002137.1_21",674,1038
"675","2810043G22Rik",675,1039
"676","LOC382358",676,1041
"677","LOC384406",677,1042
"678","LOC100047726",678,1043
"679","Trip",679,1044
"680","LOC384221",680,1046
"681","EG668356",681,1047
"682","LOC236509",682,1048
"683","LOC385719",683,1049
"684","LOC236750",684,1052
"685","Rpl41",685,1052
"686","LOC244282",686,1054
"687","LOC665427",687,1055
"688","LOC277744",688,1056
"689","Ppia",689,1058
"690","C230074H09Rik",690,1058
"691","LOC380870",691,1060
"692","LOC383616",692,1061
"693","LOC100039479",693,1062
"694","LOC665095",694,1063
"695","LOC100045136",695,1065
"696","LOC100047028",696,1066
"697","LOC385649",697,1068
"698","4930488I03Rik",698,1069
"699","EG629689",699,1070
"700","LOC674997",700,1072
"701","A730020O09Rik",701,1073
"702","Gm15794",702,1075
"703","6030408C04Rik",703,1076
"704","Lamtor3",704,1076
"705","LOC669429",705,1078
"706","D130078B10Rik",706,1079
"707","LOC381144",707,1082
"708","1110033M05Rik",708,1083
"709","AW125441",709,1084
"710","EG627967",710,1086
"711","LOC380891",711,1087
"712","D130050A01Rik",712,1089
"713","Canx",713,1089
"714","LOC383842",714,1090
"715","LOC100044390",715,1091
"716","LOC633778",716,1092
"717","A130069J03Rik",717,1093
"718","EG668310",718,1095
"719","LOC382541",719,1096
"720","LOC382881",720,1098
"721","MOR",721,1099
"722","EG574415",722,1100
"723","6446580_744",723,1101
"724","LOC242039",724,1102
"725","Kremen-pending",725,1103
"726","LOC385108",726,1104
"727","Eif1",727,1105
"728","4930577M16Rik",728,1107
"729","LOC329526",729,1108
"730","LOC237188",730,1109
"731","LOC330630",731,1111
"732","E330033J05Rik",732,1112
"733","F830033M10Rik",733,1113
"734","A730030A06",734,1115
